          sigmas	          errors	
       0.0829667	               0	
       0.0833048	     0.000338085	
        0.083697	     0.000438102	
       0.0836845	     0.000310037	
       0.0833788	     0.000388699	
       0.0834457	     0.000324346	
       0.0835388	     0.000289508	
        0.083476	     0.000258483	
       0.0833209	     0.000275719	
       0.0833589	     0.000249524	
       0.0833501	     0.000225875	
       0.0831862	      0.00026342	
       0.0831408	     0.000246525	
        0.083161	     0.000229128	
       0.0831611	     0.000213307	
       0.0831353	     0.000201193	
       0.0830845	     0.000195694	
       0.0830655	     0.000185474	
       0.0831165	     0.000182683	
       0.0831009	     0.000174011	
       0.0830554	     0.000171654	
       0.0830825	     0.000165894	
       0.0830641	     0.000159582	
       0.0830607	     0.000152826	
       0.0830803	      0.00014789	
       0.0830888	     0.000142346	
       0.0831176	     0.000139964	
       0.0831325	     0.000135692	
       0.0831513	     0.000132274	
       0.0831628	     0.000128307	
        0.083159	     0.000124158	
       0.0831456	     0.000120955	
         0.08309	     0.000129761	
       0.0831231	      0.00013017	
         0.08309	      0.00013068	
        0.083063	     0.000129817	
        0.083058	      0.00012636	
       0.0830752	     0.000124181	
       0.0830684	     0.000121142	
       0.0830926	     0.000120521	
       0.0831056	      0.00011826	
       0.0830885	     0.000116666	
       0.0831068	     0.000115377	
       0.0830819	     0.000115437	
       0.0830847	     0.000112878	
       0.0830804	     0.000110482	
       0.0830793	     0.000108112	
       0.0830976	      0.00010741	
       0.0831156	     0.000106721	
       0.0831142	     0.000104574	
       0.0830883	     0.000105728	
       0.0830581	     0.000107977	
       0.0830573	     0.000105923	
       0.0830615	      0.00010403	
       0.0830746	     0.000102958	
       0.0830701	     0.000101203	
       0.0830826	     0.000100188	
       0.0830822	     9.84468e-05	
       0.0830732	     9.71757e-05	
       0.0830688	     9.56454e-05	
       0.0830538	     9.52548e-05	
       0.0830474	     9.39238e-05	
       0.0830391	     9.27936e-05	
        0.083037	     9.13554e-05	
       0.0830353	     8.99548e-05	
       0.0830345	     8.85858e-05	
       0.0830385	     8.73488e-05	
       0.0830432	     8.61806e-05	
       0.0830649	     8.76543e-05	
       0.0830743	     8.69018e-05	
       0.0830737	      8.5671e-05	
       0.0830828	     8.49549e-05	
       0.0831011	     8.57619e-05	
       0.0831052	     8.46937e-05	
       0.0830973	     8.39247e-05	
       0.0831088	     8.36119e-05	
       0.0831144	      8.2708e-05	
       0.0831138	     8.16433e-05	
       0.0831164	     8.06457e-05	
        0.083125	     8.00914e-05	
       0.0831417	       8.084e-05	
       0.0831531	      8.0664e-05	
       0.0831656	     8.06656e-05	
        0.083167	     7.97106e-05	
        0.083161	     7.89912e-05	
       0.0831651	     7.81725e-05	
       0.0831691	     7.73756e-05	
       0.0831773	     7.69268e-05	
       0.0831894	     7.70119e-05	
       0.0831858	     7.62378e-05	
       0.0831895	     7.54847e-05	
       0.0831917	     7.46945e-05	
        0.083181	     7.46555e-05	
       0.0831826	     7.38724e-05	
       0.0831681	     7.45135e-05	
       0.0831785	      7.4467e-05	
       0.0831683	     7.43931e-05	
       0.0831725	     7.37479e-05	
       0.0831788	     7.32721e-05	
       0.0831854	     7.28323e-05	
