           unif1	           unif2	          unif10	         unif100	
        0.813674	        0.548528	        0.389647	        0.475374	
        0.410938	        0.686241	        0.624049	        0.508633	
        0.275075	        0.596458	        0.398124	        0.468716	
        0.136327	        0.204962	         0.49655	        0.465676	
        0.359304	        0.566719	        0.486935	        0.506977	
        0.477784	        0.584907	        0.564178	        0.492224	
       0.0748876	        0.232425	        0.576049	        0.545836	
        0.135172	         0.35339	        0.446596	        0.503676	
        0.316836	         0.43392	        0.484866	        0.495993	
         0.86728	        0.893493	        0.593259	        0.550911	
        0.930453	        0.551615	        0.423513	        0.497323	
         0.50821	        0.385598	        0.565274	        0.512289	
        0.394309	        0.344527	        0.438416	        0.510128	
        0.123564	        0.198288	        0.406688	        0.467723	
        0.733984	        0.459075	        0.405889	        0.466276	
        0.132741	        0.186016	        0.611799	        0.469232	
        0.726438	        0.377992	        0.533635	        0.526441	
        0.858081	        0.845257	        0.400424	        0.519895	
        0.626279	        0.574162	        0.474824	         0.54207	
        0.324087	        0.421019	        0.475023	        0.488714	
        0.776891	        0.591487	        0.584617	        0.573718	
        0.412834	        0.435682	        0.231547	        0.485732	
        0.198389	        0.176716	        0.455394	        0.524855	
         0.54796	        0.341826	        0.528257	        0.500975	
        0.320911	        0.338088	        0.508958	        0.407767	
        0.824506	        0.514488	        0.504897	        0.505118	
        0.366198	        0.188433	        0.392011	        0.516405	
        0.860426	        0.595316	        0.515417	        0.498305	
        0.790293	        0.840282	        0.667209	          0.5008	
        0.413402	        0.425945	        0.398998	        0.512002	
        0.536686	        0.543952	        0.429132	        0.475743	
        0.372399	        0.527406	        0.675025	         0.58621	
        0.996617	        0.702663	        0.492274	        0.495159	
        0.264278	        0.544304	        0.470659	        0.566235	
        0.124012	        0.343353	        0.548249	        0.488165	
        0.971284	        0.675429	        0.504397	        0.506534	
        0.377292	        0.467557	         0.70964	        0.503746	
        0.843748	        0.748892	        0.489272	        0.494342	
        0.201059	         0.28058	        0.412381	        0.481752	
        0.222408	        0.475376	        0.585992	        0.516628	
        0.789582	        0.422843	        0.578658	        0.559406	
       0.0990365	        0.379627	        0.424085	        0.484486	
        0.273371	        0.258661	        0.431342	        0.509201	
         0.76436	        0.791529	        0.676057	        0.524752	
        0.399233	        0.613586	        0.520063	        0.489461	
       0.0370064	        0.098955	        0.459893	        0.474272	
         0.30426	        0.361841	        0.484802	        0.489098	
         0.14645	        0.438574	        0.520996	        0.490466	
        0.292391	        0.370732	        0.517847	        0.486998	
        0.265994	        0.562748	        0.411478	        0.489012	
        0.450299	        0.267511	        0.536064	        0.485246	
