            exp1	            exp2	           exp10	          exp100	
          2.3573	         1.32773	          1.1836	        0.933709	
         2.12565	         1.31892	         1.14114	         1.28526	
        0.158939	        0.337832	        0.713616	        0.916915	
        0.835974	          2.3854	         1.34528	         1.04143	
        0.174568	        0.460368	         1.10572	         1.08918	
         2.44905	         2.19087	          1.0936	        0.890295	
         1.41934	         0.71616	        0.413265	        0.773879	
        0.204104	         1.04349	        0.807018	        0.885025	
         0.47996	         0.53636	        0.769777	        0.877931	
         0.31006	         1.10942	        0.856106	        0.836878	
        0.185909	        0.216651	         1.02123	        0.841047	
        0.227541	        0.822366	         1.03467	        0.867359	
        0.186707	        0.136782	         0.46402	        0.807887	
        0.297202	         0.50498	        0.551009	         1.00767	
         1.40877	         1.56357	         1.07362	         1.01001	
         5.01647	         3.21385	         1.81148	         1.09731	
         1.92889	         1.60438	          1.5357	           1.024	
         1.83024	         1.57902	         0.87476	         1.01777	
        0.404682	        0.247914	         1.13778	        0.973978	
         1.57372	        0.798031	         1.41122	         1.00327	
         0.58157	        0.776528	        0.767557	        0.913255	
        0.582446	         0.42134	        0.921553	         1.16481	
        0.914441	        0.827589	        0.567164	        0.913469	
        0.354647	         1.47755	        0.867169	         0.98388	
         1.40946	        0.786452	         1.41246	         1.21452	
        0.074135	         1.28558	        0.964517	         1.10372	
          2.4514	         1.24923	         1.36441	         1.01376	
         1.81363	         1.53067	         1.05173	        0.910942	
        0.628802	        0.361098	        0.566639	        0.845516	
         1.02199	         1.08757	        0.775128	         1.06262	
       0.0672435	         1.54525	         1.13944	           1.012	
        0.310288	        0.555766	        0.936248	         1.03268	
          0.3015	        0.226371	        0.430267	        0.941125	
        0.314679	        0.369555	        0.536782	        0.958146	
      0.00572999	        0.300341	        0.964575	        0.963844	
        0.459081	        0.533612	        0.676653	        0.904076	
         1.02473	        0.741351	        0.737652	        0.937085	
        0.167801	         0.50922	        0.583156	        0.901991	
        0.969533	        0.630393	         0.93466	         1.05414	
        0.642112	        0.684383	        0.750242	         1.07214	
        0.668935	        0.473984	         0.95767	         1.05428	
         1.79366	         2.23759	        0.991979	         1.10374	
        0.134516	         0.48691	        0.568905	         0.92985	
         3.49113	         2.40216	        0.793354	        0.866864	
        0.017376	        0.968715	        0.614808	        0.951087	
        0.741359	        0.948585	         1.04557	         1.00393	
         1.01196	         1.40999	         1.14508	          1.0311	
       0.0545829	         2.03504	         1.00446	         1.02172	
        0.960069	        0.489518	        0.666727	        0.928382	
         0.15293	        0.549527	        0.764335	        0.903024	
        0.783653	         1.12745	         1.13417	        0.999956	
         2.83626	         2.33382	         1.13546	        0.905441	
       0.0367916	        0.897828	         0.98258	         1.05511	
       0.0324095	        0.233791	        0.393297	        0.905888	
         0.95663	        0.901547	         1.02085	        0.911368	
        0.319795	         2.34448	         1.73079	         1.19894	
         1.10938	        0.763377	        0.808312	         1.05156	
       0.0677143	       0.0604059	         1.37902	        0.963842	
        0.038904	        0.756985	        0.826309	        0.826685	
         0.93456	        0.698033	        0.435717	         1.11511	
         1.06593	         1.23814	         1.09854	        0.839818	
          0.1117	         1.48308	         1.20973	         1.05216	
         2.99205	         1.55801	        0.749221	        0.890479	
       0.0432647	        0.327661	         0.92275	        0.924456	
         1.28233	          1.2469	        0.864294	          1.0532	
         2.20547	         1.62296	         1.69692	         1.08487	
        0.510429	        0.379762	        0.576034	         1.07427	
         1.12095	        0.646584	        0.944181	        0.975186	
        0.445442	         1.14403	         1.19375	         1.02843	
         1.33285	        0.711925	         1.38354	         1.09928	
       0.0719663	        0.726152	         1.19128	        0.956506	
         1.79055	         1.14015	         0.80789	        0.937988	
         2.12072	         1.73274	         1.21384	         1.06216	
         0.56845	         1.22106	        0.931166	        0.937091	
         0.97341	        0.985274	         1.00315	         1.08166	
        0.175818	        0.733794	        0.851278	         0.97609	
        0.143218	         1.14782	        0.808755	        0.960524	
         2.40054	         1.60853	        0.651101	         1.06578	
        0.365828	        0.665779	        0.846214	         1.09837	
        0.281597	        0.163302	        0.882424	        0.869352	
        0.686593	        0.688775	        0.636424	         0.80769	
        0.404642	         0.44294	        0.759772	         0.89362	
        0.645108	        0.682272	        0.916477	         1.12514	
          1.2292	         1.45527	          1.1132	          1.0756	
         1.09089	         1.31204	         1.78607	         1.09284	
       0.0434897	       0.0644528	        0.980825	        0.994193	
        0.316549	        0.160155	        0.952974	          1.0926	
         1.49506	         1.56178	         1.42737	         1.09228	
         1.67148	         1.55083	         0.92853	         1.09608	
         1.73731	         1.50469	         1.19604	        0.907404	
          2.3747	         1.51167	         1.56962	         1.08664	
       0.0406133	       0.0373704	        0.602142	        0.915458	
         1.38487	         1.88318	         1.06279	        0.874004	
         1.04398	         2.95154	         1.45368	         1.02817	
        0.126499	        0.800566	        0.659597	        0.956969	
        0.619426	        0.852642	        0.845172	         1.02231	
        0.593524	        0.374874	        0.763986	        0.879246	
         2.53967	         4.55786	          1.8252	         1.03306	
         0.85148	        0.446789	        0.672131	        0.916015	
       0.0593323	         0.53795	         1.15914	         1.06671	
        0.231336	         1.38041	        0.785601	         1.19026	
         1.80198	         1.14529	         1.01667	         1.06047	
         1.17343	        0.624181	        0.585556	         1.07055	
         1.68955	         1.32315	        0.734026	        0.978252	
       0.0316337	        0.564896	        0.989834	         1.05211	
        0.971238	         1.35773	        0.988459	        0.874981	
         1.20845	         1.73618	        0.927588	        0.989749	
        0.410389	        0.318322	        0.795784	        0.852541	
        0.532098	        0.886675	         1.06216	         1.14749	
         1.96129	         1.24894	         1.51012	        0.959805	
        0.243775	        0.142247	        0.712904	        0.875984	
         2.41994	         2.45362	         1.35181	         1.08531	
        0.923829	         1.78048	          1.1823	        0.992654	
         1.23848	         1.08941	         1.18231	        0.813243	
        0.600943	        0.636132	        0.654377	        0.825995	
         2.29468	         1.38214	         0.79133	        0.791167	
       0.0497758	        0.419913	         0.75977	         1.05165	
         1.19004	        0.927662	        0.844035	         1.01308	
         5.33942	         2.76646	         1.24441	         1.08276	
        0.987586	         1.14289	         1.05296	        0.992336	
        0.532715	        0.378823	         1.05719	         1.02405	
         1.90669	         1.43209	         1.43978	         1.12659	
         3.85367	         3.23696	        0.967964	         1.01947	
         1.74952	         3.06779	         2.17223	        0.910978	
        0.868233	         1.06748	         0.99626	        0.937645	
        0.866829	        0.778424	        0.718129	         0.91714	
        0.354122	        0.192366	        0.761528	        0.884031	
         2.01084	         2.07042	           1.838	         1.24153	
        0.257871	        0.306773	        0.776682	        0.830788	
         3.18519	         2.03809	         1.41887	          1.1527	
        0.655275	        0.606456	        0.966664	        0.815146	
         1.20511	         1.06056	         1.10488	         1.08123	
        0.848185	        0.900126	         1.02776	        0.981059	
        0.936691	         1.17713	         1.05175	        0.902951	
        0.909718	         1.20953	         1.06247	         1.02319	
       0.0800667	        0.267734	        0.866825	         1.04018	
        0.420103	        0.419668	        0.754505	        0.806143	
        0.407217	        0.774036	           1.143	         1.11475	
         1.14448	         1.41154	         1.04707	         1.03572	
         3.78889	         1.90552	         0.76993	         1.10445	
       0.0234836	        0.239026	        0.786106	        0.994543	
         1.78487	         2.14121	        0.875515	        0.991158	
        0.184623	          0.3219	        0.894639	         0.90553	
         0.97212	         1.06167	         1.04227	        0.925987	
        0.157101	        0.239122	        0.431187	        0.882302	
         1.38471	        0.994276	         1.04016	         0.90515	
        0.525197	         1.44832	        0.979332	         1.02629	
        0.183909	         0.47988	         1.11134	        0.933732	
        0.918031	        0.477238	         0.68676	         0.94763	
         1.59883	         0.92118	         1.05379	        0.931571	
        0.117473	       0.0638374	        0.629332	        0.932128	
        0.490053	        0.632906	        0.526315	         0.86267	
        0.280553	         0.33456	         1.17281	        0.984982	
        0.691332	        0.350132	        0.870547	          1.0601	
        0.226685	        0.144294	        0.704825	         1.15794	
        0.218877	         0.37432	         1.35146	         1.11372	
         1.93809	         1.50742	         1.23167	         1.13652	
        0.226084	        0.323239	        0.896097	         1.01245	
         2.16341	         1.08617	        0.910143	        0.867042	
         1.01171	        0.634097	         1.00235	        0.985483	
         4.92872	         2.78264	         1.14373	        0.837532	
        0.762459	        0.942697	        0.796193	         1.01536	
        0.285467	         0.54029	        0.981625	         1.06829	
        0.626856	        0.997666	        0.795829	         1.04493	
        0.398857	        0.422696	        0.847761	        0.960665	
        0.270821	        0.552237	        0.774218	         0.93408	
        0.915299	        0.531308	        0.630902	        0.937309	
        0.414298	        0.855824	         1.05654	        0.957823	
        0.706546	        0.695448	        0.748319	        0.823423	
      0.00350078	        0.213187	         1.02573	        0.909079	
        0.361868	        0.213883	        0.680188	         1.04484	
       0.0101858	       0.0605017	         0.50485	         1.01565	
         1.52726	        0.922831	        0.693891	        0.995357	
        0.321883	        0.265125	        0.843751	        0.855744	
        0.605461	        0.353644	         1.02621	         1.00408	
