           Lore1	           Lore2	          Lore10	         Lore100	
         13.5396	         7.70606	         2.70283	        0.411058	
         1.20032	         1.12909	         3.27075	        0.226934	
          1.4545	        0.827039	        0.115135	        -4.33426	
         1.42586	        0.865643	       -0.035548	       -0.551909	
         0.14223	       -0.602061	         2.64822	       -0.996872	
        -0.52902	       -0.609343	        0.225691	         1.28545	
       -0.956222	        -0.24123	       -0.149528	        0.497794	
        -1.85876	        -4.07714	        0.386584	        -1.11117	
        -6.18358	        -5.54475	        -1.50891	        -1.88613	
          1.4865	        0.495248	        0.482468	        0.922601	
        0.279757	        -5.13668	        -1.93928	         -1.3277	
       -0.558734	       -0.700503	       -0.948667	         2.10695	
      -0.0666286	        0.870591	        0.295008	       0.0988484	
        0.398955	        0.102818	        -0.41703	        0.165162	
        0.390893	      -0.0529427	        0.647059	        -2.53757	
       -0.193688	        -12.3602	        -11.7628	        0.743667	
         3.59845	         9.09697	          -2.949	       -0.432038	
         2.76583	         1.84343	         0.20029	         1.50553	
         3.85055	         1.91794	         1.12327	       -0.366142	
     -0.00746762	         1.02006	         42.0538	         3.81029	
       -0.862423	       -0.412959	        0.899789	        0.654112	
         4.19981	          2.3768	         3.41628	       -0.382739	
          1.0976	       -0.364104	         12.3879	        0.613094	
         1.72025	         1.24693	          6.4926	        0.497414	
        -1.85714	         4.73134	        0.617919	         1.06192	
          0.9082	        0.206901	       -0.321736	        -2.60517	
        -14.3163	        -5.86122	       -0.229343	        -0.62381	
        -1.70454	         1.17504	        -11.1877	        0.641287	
         6.54201	         3.21836	         1.96062	        0.178429	
         3.57978	        -2.35978	        0.902509	         0.63471	
       -0.329356	         3.26027	        -2.21984	        -0.36156	
        0.520382	        -17.7473	        -3.74652	       -0.248714	
       -0.944535	        -1.19431	       -0.923027	        -1.68906	
        0.193539	       -0.273168	       -0.223781	       -0.404687	
        -1.04619	       -0.792641	        0.555885	       -0.296936	
        0.380408	       0.0614224	        0.633049	         1.43865	
      -0.0998357	        0.540085	         9.99763	        0.779845	
         4.39194	        -1.18333	       -0.556579	         1.07366	
        -14.0151	        -7.66366	        -2.24622	         5.27923	
         1.23625	       -0.115044	        0.398676	        -2.42184	
        -1.06751	         3.55493	        0.874107	        0.645044	
        0.126351	        0.602104	         18.2754	         11.0867	
         12.2929	         4.19622	        0.588411	        -1.15279	
       -0.140675	        0.391568	         1.32571	        0.404537	
        0.705612	        0.185956	       -0.398382	        0.984132	
         3.06263	        0.964619	      -0.0952324	        0.738022	
        0.501525	        -2.34146	        -3.01675	        0.326919	
        0.265349	        0.307033	        0.394579	       -0.893828	
        -2.16146	       -0.917646	         -1.3479	        -13.3822	
         5.27356	         2.40532	        -4.99846	          0.3409	
       -0.152897	        0.137987	        0.315838	        -1.15609	
       -0.973832	       -0.473808	        0.191954	         1.56111	
        0.255115	       -0.618551	       -0.883536	      -0.0129875	
        0.469055	       0.0827003	      -0.0788727	       -0.224737	
       -0.709404	      -0.0588082	         1.19763	       -0.260567	
        -2.74393	        -2.29959	       -0.962799	         0.21198	
         1.27138	         1.41272	        0.479147	        0.263877	
