        averages	          errors	
          3.1419	               0	
         3.14516	      0.00326849	
         3.14697	      0.00261358	
         3.14516	      0.00258247	
         3.14418	      0.00222386	
         3.14354	      0.00192762	
         3.14342	      0.00163311	
         3.14343	      0.00141434	
         3.14293	      0.00134186	
         3.14256	       0.0012562	
         3.14243	      0.00114324	
         3.14225	      0.00105854	
         3.14204	     0.000997566	
         3.14226	     0.000950849	
         3.14293	      0.00110767	
         3.14282	      0.00104148	
         3.14225	      0.00113165	
         3.14217	      0.00106968	
          3.1418	      0.00107716	
         3.14173	      0.00102423	
         3.14159	     0.000985351	
         3.14191	     0.000994606	
         3.14199	     0.000953359	
         3.14163	     0.000979956	
         3.14157	     0.000941908	
         3.14181	     0.000936717	
         3.14179	     0.000901479	
         3.14167	      0.00087753	
         3.14175	      0.00085024	
         3.14159	     0.000836672	
         3.14141	     0.000827503	
          3.1413	     0.000808837	
         3.14135	     0.000785717	
         3.14137	     0.000762447	
         3.14128	     0.000745449	
         3.14121	       0.0007286	
         3.14122	     0.000708745	
         3.14148	     0.000739406	
          3.1413	     0.000742385	
         3.14143	     0.000734328	
         3.14167	     0.000755409	
         3.14161	     0.000739821	
         3.14169	     0.000726993	
         3.14162	     0.000713421	
         3.14168	     0.000699779	
          3.1418	     0.000695663	
         3.14191	     0.000689889	
         3.14198	     0.000678506	
         3.14182	     0.000683397	
         3.14181	      0.00066961	
         3.14188	     0.000659669	
         3.14181	     0.000650563	
         3.14179	      0.00063861	
         3.14183	     0.000628567	
         3.14184	     0.000617068	
          3.1419	     0.000609376	
         3.14195	     0.000600244	
         3.14196	     0.000590011	
         3.14185	     0.000590182	
         3.14182	     0.000581376	
         3.14174	     0.000577652	
         3.14165	     0.000574546	
         3.14174	     0.000571733	
         3.14176	     0.000563091	
         3.14183	     0.000558946	
         3.14178	      0.00055206	
         3.14182	     0.000545194	
         3.14182	     0.000537159	
         3.14181	     0.000529433	
         3.14179	     0.000521923	
         3.14178	     0.000514605	
         3.14178	     0.000507457	
         3.14185	     0.000506235	
         3.14176	     0.000508093	
         3.14181	     0.000503686	
         3.14175	     0.000500868	
         3.14179	     0.000496387	
          3.1418	     0.000490066	
         3.14178	     0.000484095	
         3.14171	     0.000484202	
         3.14173	     0.000478879	
          3.1417	     0.000473951	
         3.14168	      0.00046863	
         3.14159	     0.000472358	
          3.1416	     0.000466902	
         3.14158	     0.000461816	
         3.14152	     0.000459944	
         3.14146	     0.000458758	
         3.14144	     0.000454001	
         3.14149	     0.000451829	
         3.14151	     0.000447068	
         3.14153	     0.000442644	
         3.14152	     0.000438001	
         3.14148	     0.000434704	
         3.14149	      0.00043018	
         3.14145	     0.000427329	
         3.14141	     0.000425443	
         3.14145	     0.000423342	
         3.14147	     0.000419668	
         3.14154	     0.000420409	
