        averages	          errors	
          3.1419	               0	
         3.14516	       0.0032685	
         3.14697	      0.00261195	
         3.14517	      0.00258247	
         3.14419	      0.00222514	
         3.14354	      0.00192949	
         3.14342	      0.00163486	
         3.14343	      0.00141584	
         3.14294	      0.00134344	
         3.14256	      0.00125785	
         3.14244	      0.00114486	
         3.14226	      0.00106015	
         3.14204	     0.000999175	
         3.14227	     0.000952149	
         3.14293	      0.00110929	
         3.14283	      0.00104309	
         3.14226	      0.00113264	
         3.14218	      0.00107069	
         3.14181	      0.00107814	
         3.14174	      0.00102522	
         3.14159	     0.000986399	
         3.14192	     0.000995496	
         3.14199	     0.000954143	
         3.14164	      0.00098062	
         3.14158	     0.000942597	
         3.14182	      0.00093727	
          3.1418	     0.000902024	
         3.14168	     0.000878134	
         3.14175	     0.000850763	
         3.14159	     0.000837248	
         3.14142	     0.000828121	
         3.14131	     0.000809497	
         3.14136	     0.000786318	
         3.14138	     0.000763018	
         3.14129	     0.000746052	
         3.14121	     0.000729229	
         3.14122	     0.000709349	
         3.14149	     0.000740084	
         3.14131	     0.000743052	
         3.14143	     0.000734916	
         3.14168	     0.000756025	
         3.14161	      0.00074046	
         3.14169	     0.000727567	
         3.14163	     0.000714019	
         3.14168	     0.000700327	
         3.14181	     0.000696149	
         3.14192	     0.000690316	
         3.14199	     0.000678886	
         3.14183	     0.000683769	
         3.14182	     0.000669978	
         3.14189	     0.000659993	
         3.14182	     0.000650913	
         3.14179	     0.000638968	
         3.14184	     0.000628891	
         3.14185	     0.000617382	
         3.14191	     0.000609654	
         3.14196	     0.000600493	
         3.14197	     0.000590247	
         3.14186	     0.000590429	
         3.14182	     0.000581637	
         3.14174	     0.000577933	
         3.14166	     0.000574845	
         3.14174	     0.000571999	
         3.14176	     0.000563342	
         3.14183	     0.000559166	
         3.14179	     0.000552296	
         3.14183	     0.000545408	
         3.14182	     0.000537373	
         3.14181	     0.000529649	
          3.1418	     0.000522142	
         3.14179	     0.000514826	
         3.14178	     0.000507678	
         3.14186	     0.000506434	
         3.14177	     0.000508292	
         3.14181	     0.000503864	
         3.14175	      0.00050106	
          3.1418	     0.000496559	
         3.14181	     0.000490232	
         3.14179	     0.000484266	
         3.14171	      0.00048438	
         3.14174	     0.000479044	
         3.14171	     0.000474125	
         3.14169	      0.00046881	
         3.14159	     0.000472528	
         3.14161	     0.000467065	
         3.14159	     0.000461985	
         3.14153	     0.000460124	
         3.14147	     0.000458947	
         3.14145	     0.000454195	
          3.1415	     0.000452007	
         3.14151	     0.000447237	
         3.14153	     0.000442804	
         3.14152	     0.000438164	
         3.14149	     0.000434876	
          3.1415	     0.000430347	
         3.14146	     0.000427505	
         3.14141	     0.000425628	
         3.14146	     0.000423512	
         3.14148	     0.000419828	
         3.14154	      0.00042056	
