 occurrencies(0)	occurrencies(20)	occurrencies(40)	occurrencies(60)	occurrencies(80)	occurrencies(100)	
              94	            2092	            4060	            6045	            8005	            9881	
              77	            2108	            4046	            5898	            7916	            9793	
             105	            2123	            4049	            6039	            8095	           10107	
              98	            2078	            4074	            6095	            8070	            9987	
             101	            1953	            4005	            5947	            7867	            9709	
             114	            2072	            4064	            6035	            8000	            9858	
             102	            2045	            4065	            6063	            8174	           10115	
             107	            2055	            4032	            6114	            8113	            9903	
              98	            2136	            4173	            6176	            8216	           10134	
              98	            2070	            4031	            6073	            8018	            9959	
             104	            2145	            4115	            6135	            8192	           10088	
              96	            2072	            3997	            6036	            8006	            9830	
             105	            2120	            4117	            6112	            8156	           10133	
             103	            2104	            4129	            6065	            8048	            9901	
              89	            2098	            4137	            6182	            8154	           10085	
              98	            2061	            3976	            5943	            7998	            9836	
             103	            2011	            4000	            6005	            8064	            9957	
             117	            2077	            4063	            6096	            8118	           10035	
              99	            2016	            4039	            6020	            8004	            9836	
             116	            2134	            4187	            6171	            8148	           10167	
              79	            2110	            4086	            6210	            8199	           10121	
             101	            2120	            4111	            6164	            8170	           10082	
              95	            2137	            4105	            6073	            7993	            9954	
             104	            2076	            4033	            6059	            8100	           10018	
              94	            2103	            4148	            6111	            8152	           10018	
             101	            2123	            4063	            6059	            8080	            9996	
             113	            2169	            4178	            6085	            8111	            9983	
             106	            2099	            4053	            6064	            8068	            9963	
              97	            2125	            4185	            6173	            8134	           10007	
              89	            2078	            4107	            6057	            8174	           10108	
              90	            2028	            4008	            6076	            8089	            9964	
              92	            2110	            4038	            6094	            7985	            9836	
              99	            2147	            4157	            6225	            8204	           10093	
              96	            2039	            4086	            6116	            8040	            9919	
              95	            2100	            4109	            6142	            8189	           10128	
              92	            2000	            4009	            5980	            7981	            9939	
              94	            2125	            4138	            6122	            8066	            9943	
              96	            2062	            4095	            6087	            8012	            9846	
             105	            2092	            4098	            6091	            8038	            9888	
              86	            2120	            4101	            6113	            8139	           10008	
              92	            2075	            4107	            6051	            8042	            9927	
             105	            2145	            4218	            6337	            8334	           10178	
             105	            2003	            3981	            6025	            8047	            9929	
             114	            2086	            4081	            6030	            8045	            9888	
             105	            2102	            4060	            5989	            7923	            9903	
             109	            2186	            4216	            6261	            8211	           10142	
              84	            2154	            4193	            6211	            8232	           10080	
              80	            2044	            4069	            6028	            7976	            9942	
              93	            2132	            4098	            6024	            8146	           10070	
              97	            2152	            4213	            6214	            8201	           10054	
             109	            2152	            4186	            6261	            8235	           10105	
             106	            2067	            4025	            6050	            7989	            9901	
             118	            2153	            4111	            6134	            8190	           10123	
             115	            2153	            4184	            6177	            8143	           10041	
             104	            2156	            4139	            6157	            8093	           10014	
             104	            2101	            4136	            6177	            8069	            9975	
              99	            2130	            4075	            6094	            8014	            9974	
              96	            2011	            4026	            6021	            7989	            9941	
             114	            2122	            4076	            6057	            8032	            9887	
              96	            2115	            4094	            6157	            8156	           10050	
              93	            2117	            4146	            6167	            8247	           10193	
             108	            2128	            4136	            6139	            8171	           10064	
              85	            2116	            4148	            6122	            8214	           10095	
             114	            2147	            4120	            6145	            8181	           10122	
             102	            2176	            4170	            6201	            8263	           10170	
             102	            2151	            4194	            6225	            8274	           10170	
              98	            2062	            4071	            6019	            8036	            9889	
             116	            2039	            4064	            6088	            8091	            9899	
             112	            2172	            4104	            6116	            8135	           10057	
              97	            2104	            4150	            6131	            8111	           10038	
              96	            2031	            4086	            6139	            8133	           10132	
              96	            2121	            4065	            6044	            8082	            9934	
             104	            2133	            4069	            6146	            8200	           10059	
             108	            2107	            4165	            6270	            8298	           10231	
             110	            2117	            4040	            5958	            8008	            9985	
              95	            2074	            4166	            6150	            8138	           10026	
             111	            2093	            4116	            6075	            8044	            9977	
              98	            2162	            4207	            6177	            8207	           10063	
              99	            2135	            4129	            6058	            7979	            9868	
              84	            2082	            4095	            6092	            8122	           10019	
              98	            2064	            4089	            6151	            8149	            9999	
             119	            2119	            4071	            6013	            8023	            9936	
              87	            2027	            4023	            6073	            8108	           10011	
              98	            2061	            4045	            5983	            7996	            9892	
              94	            2047	            4058	            6035	            8024	            9915	
              82	            2080	            4130	            6087	            8039	            9951	
              94	            2216	            4170	            6202	            8181	           10119	
             106	            2143	            4178	            6284	            8255	           10154	
             105	            2150	            4142	            6115	            8140	           10036	
              98	            2111	            4196	            6140	            8176	           10066	
              97	            2073	            3962	            5964	            7964	            9847	
             113	            2143	            4151	            6075	            8099	           10058	
              86	            2096	            4159	            6129	            8107	            9987	
             103	            2070	            4071	            6032	            8011	            9890	
              87	            2052	            3993	            5988	            8075	            9989	
              98	            2081	            4103	            6114	            8080	            9930	
              96	            2135	            4093	            6103	            8096	           10022	
             113	            2112	            4181	            6116	            8051	            9950	
             101	            2071	            4088	            6042	            8046	            9988	
             104	            2110	            4101	            6086	            8093	           10017	
