         uniform	          errors	         parable	          errors	     exponential	          errors	      antithetic	          errors	
        0.994021	               0	          1.0004	               0	        0.999961	               0	         1.00067	               0	
         1.00016	      0.00613853	        0.999884	      0.00051271	         1.00031	     0.000345908	         1.00041	      0.00026212	
          1.0011	      0.00366753	         1.00016	      0.00040334	         1.00061	      0.00036567	         1.00021	     0.000248368	
         1.00164	       0.0026476	         1.00011	     0.000289073	        0.999926	     0.000734682	         1.00034	     0.000219851	
         1.00155	       0.0020525	         1.00014	     0.000225937	        0.999542	     0.000686409	         1.00052	      0.00025012	
         1.00188	      0.00170803	         1.00018	     0.000187648	        0.999128	      0.00069656	         1.00036	     0.000264726	
         1.00233	      0.00151087	         1.00022	     0.000164938	         1.00007	      0.00110858	         1.00024	     0.000250041	
         1.00126	      0.00168768	         1.00022	     0.000142914	         1.00002	     0.000961452	         1.00018	     0.000225393	
         1.00103	      0.00150714	          1.0002	     0.000127639	        0.999701	     0.000904434	         1.00004	     0.000243822	
         1.00023	      0.00156415	         1.00016	     0.000119747	        0.999834	     0.000819855	         1.00011	     0.000229595	
        0.999975	      0.00143817	         1.00018	     0.000110092	        0.999501	     0.000813031	         1.00006	     0.000215283	
         1.00035	      0.00136613	          1.0002	     0.000101909	        0.999545	     0.000743462	         1.00004	     0.000197239	
         1.00021	       0.0012643	         1.00022	     9.62803e-05	        0.999602	     0.000686316	        0.999943	     0.000205016	
          1.0003	      0.00117341	         1.00015	     0.000110458	        0.999758	      0.00065412	         1.00003	     0.000209867	
         1.00061	      0.00113569	         1.00011	      0.00011083	        0.999832	     0.000613423	         1.00004	      0.00019548	
         1.00108	      0.00116272	         1.00005	     0.000120051	        0.999687	     0.000591699	         1.00002	     0.000183739	
         1.00096	      0.00109897	         1.00004	     0.000112994	        0.999548	     0.000572899	        0.999947	     0.000187877	
         1.00087	      0.00103947	         1.00003	     0.000107556	        0.999565	     0.000540386	        0.999943	      0.00017718	
         1.00101	     0.000993195	         1.00005	     0.000103702	        0.999616	     0.000513668	        0.999978	     0.000171341	
         1.00095	     0.000944632	         1.00008	     0.000104246	        0.999832	      0.00053312	        0.999915	     0.000174569	
         1.00094	     0.000898534	         1.00012	     0.000104981	        0.999874	     0.000508836	        0.999889	     0.000168077	
           1.001	     0.000858727	         1.00013	      0.00010133	        0.999967	     0.000493948	        0.999947	     0.000170567	
         1.00088	     0.000829005	         1.00012	     9.84752e-05	         1.00017	      0.00051355	        0.999978	     0.000165984	
         1.00048	      0.00088849	         1.00014	     9.74766e-05	         1.00002	     0.000514927	        0.999951	     0.000161184	
         1.00051	     0.000852711	         1.00012	     9.55415e-05	         1.00022	     0.000532522	        0.999944	     0.000154803	
         1.00059	     0.000822405	         1.00016	     9.87956e-05	          1.0002	     0.000511966	        0.999996	     0.000157551	
         1.00056	     0.000791737	         1.00014	     9.65765e-05	        0.999901	     0.000574606	         1.00003	     0.000154517	
         1.00086	     0.000817552	         1.00015	     9.35561e-05	         0.99989	     0.000553812	         1.00006	     0.000153652	
         1.00097	     0.000796908	         1.00016	     9.06452e-05	        0.999861	     0.000535152	         1.00009	     0.000150264	
         1.00099	      0.00077018	         1.00015	     8.85115e-05	        0.999834	     0.000517698	         1.00007	     0.000146513	
         1.00093	     0.000747508	         1.00016	     8.67257e-05	        0.999938	     0.000511425	         1.00005	     0.000142552	
         1.00084	     0.000728876	         1.00018	     8.72017e-05	        0.999854	     0.000502366	         1.00004	      0.00013879	
         1.00067	     0.000726602	         1.00017	     8.63184e-05	        0.999905	     0.000489581	         1.00006	     0.000136038	
         1.00069	     0.000705167	         1.00016	     8.40317e-05	        0.999988	     0.000482208	         1.00002	     0.000137317	
         1.00054	     0.000700827	         1.00016	     8.15956e-05	         1.00001	     0.000468992	         1.00001	     0.000133838	
          1.0004	     0.000695169	         1.00014	     8.11861e-05	        0.999948	     0.000460703	        0.999995	     0.000130752	
         1.00026	     0.000690932	         1.00014	     7.90011e-05	         1.00002	     0.000453255	         1.00003	     0.000131588	
         1.00052	     0.000720408	         1.00013	     7.77383e-05	         1.00004	     0.000441584	         1.00007	     0.000134774	
         1.00081	         0.00076	         1.00013	       7.582e-05	        0.999927	     0.000443458	         1.00009	       0.0001326	
         1.00075	     0.000743128	         1.00012	     7.44263e-05	         0.99991	     0.000432572	         1.00009	      0.00012927	
         1.00062	     0.000735699	         1.00011	      7.3242e-05	        0.999871	      0.00042366	         1.00008	     0.000126319	
          1.0007	     0.000721562	         1.00011	     7.14869e-05	        0.999903	     0.000414639	         1.00007	      0.00012388	
         1.00077	      0.00070869	         1.00011	     6.98292e-05	        0.999795	     0.000418938	         1.00006	     0.000121128	
         1.00064	     0.000705205	         1.00009	     6.97369e-05	        0.999828	     0.000410652	         1.00007	     0.000118496	
         1.00071	     0.000693522	          1.0001	     6.82544e-05	        0.999938	     0.000416109	         1.00004	     0.000118087	
         1.00063	     0.000683693	         1.00009	     6.69988e-05	        0.999977	     0.000408792	         1.00005	     0.000115514	
         1.00058	     0.000670629	         1.00008	     6.66179e-05	        0.999944	     0.000401286	         1.00002	     0.000115101	
         1.00068	       0.0006646	         1.00009	     6.57036e-05	        0.999839	     0.000406688	         1.00006	     0.000116784	
         1.00065	     0.000651717	         1.00008	     6.46991e-05	        0.999882	     0.000400594	         1.00009	     0.000119891	
         1.00051	     0.000653521	         1.00009	     6.41186e-05	        0.999915	       0.0003939	         1.00008	     0.000117864	
         1.00041	     0.000648034	          1.0001	     6.36463e-05	        0.999859	     0.000390213	         1.00009	     0.000115811	
         1.00037	     0.000637338	          1.0001	     6.25506e-05	        0.999912	     0.000386388	         1.00005	      0.00011966	
         1.00035	     0.000625383	         1.00009	     6.18153e-05	        0.999958	     0.000381806	         1.00005	     0.000117383	
         1.00031	     0.000615315	          1.0001	     6.14919e-05	        0.999887	     0.000381341	         1.00005	     0.000115272	
         1.00032	     0.000604112	         1.00008	     6.30545e-05	        0.999883	     0.000374369	         1.00004	     0.000113299	
         1.00014	     0.000617507	         1.00009	     6.24515e-05	        0.999894	     0.000367785	         1.00002	     0.000114492	
         1.00013	     0.000606748	         1.00008	     6.16215e-05	        0.999842	     0.000364899	         1.00004	     0.000115992	
         1.00005	     0.000601343	         1.00009	     6.06588e-05	        0.999868	     0.000359444	         1.00005	     0.000114338	
        0.999986	     0.000594763	         1.00008	     6.03426e-05	        0.999746	     0.000373733	         1.00005	     0.000112383	
        0.999899	     0.000591166	         1.00007	      5.9901e-05	        0.999776	     0.000368649	         1.00007	     0.000111305	
         1.00002	     0.000594175	         1.00007	     5.89408e-05	        0.999783	     0.000362641	         1.00008	     0.000109902	
        0.999988	     0.000585482	         1.00006	     5.85614e-05	        0.999848	     0.000362607	          1.0001	     0.000109772	
        0.999951	     0.000577267	         1.00007	     5.79387e-05	        0.999812	      0.00035862	         1.00009	     0.000108057	
        0.999966	     0.000568352	         1.00006	     5.79734e-05	         0.99979	     0.000353699	          1.0001	     0.000106678	
        0.999994	     0.000560256	         1.00005	      5.7079e-05	        0.999802	     0.000348419	         1.00008	     0.000107083	
         1.00005	     0.000554437	         1.00006	     5.62114e-05	        0.999807	     0.000343148	         1.00009	      0.00010589	
          1.0001	     0.000548933	         1.00005	     5.60256e-05	        0.999787	     0.000338593	          1.0001	     0.000104589	
         0.99998	     0.000554857	         1.00005	     5.52457e-05	        0.999779	      0.00033367	         1.00007	     0.000106031	
         1.00001	     0.000547603	         1.00004	     5.47478e-05	        0.999752	     0.000329915	         1.00007	     0.000104489	
        0.999965	     0.000541668	         1.00005	     5.41879e-05	        0.999733	     0.000325747	         1.00005	     0.000106649	
         0.99983	     0.000550718	         1.00006	     5.42724e-05	        0.999729	     0.000321147	         1.00002	     0.000109092	
         0.99979	      0.00054453	         1.00006	     5.35681e-05	        0.999754	     0.000317602	         1.00002	      0.00010768	
        0.999738	      0.00053952	         1.00006	     5.35692e-05	         0.99975	     0.000313246	               1	      0.00010782	
        0.999606	     0.000548204	         1.00006	     5.33566e-05	        0.999788	     0.000311403	         1.00001	     0.000106951	
        0.999561	     0.000542733	         1.00006	     5.32168e-05	         0.99978	      0.00030734	        0.999997	     0.000106849	
        0.999604	     0.000537262	         1.00008	     5.48471e-05	        0.999693	     0.000315578	               1	     0.000105503	
        0.999774	     0.000556983	         1.00008	     5.41813e-05	        0.999689	     0.000311468	         1.00001	     0.000104755	
        0.999782	     0.000549842	         1.00008	     5.34823e-05	        0.999704	     0.000307798	         1.00002	     0.000104065	
        0.999807	     0.000543442	         1.00008	     5.29231e-05	        0.999713	      0.00030402	         1.00004	     0.000103526	
        0.999731	     0.000541941	         1.00008	     5.26532e-05	        0.999744	     0.000301769	         1.00003	      0.00010282	
         0.99968	     0.000537642	         1.00007	     5.20858e-05	        0.999728	     0.000298446	         1.00003	     0.000101559	
        0.999654	     0.000531674	         1.00007	     5.14488e-05	        0.999722	     0.000294855	         1.00004	     0.000100969	
        0.999675	     0.000525614	         1.00007	     5.08921e-05	        0.999763	     0.000294185	         1.00006	     0.000101273	
          0.9997	     0.000519954	         1.00008	     5.11656e-05	        0.999773	     0.000290816	         1.00006	      0.00010011	
        0.999707	     0.000513839	         1.00007	     5.10332e-05	        0.999757	     0.000287801	         1.00005	      9.9122e-05	
        0.999659	     0.000510056	         1.00006	     5.12681e-05	        0.999748	     0.000284576	         1.00005	     9.83252e-05	
        0.999658	      0.00050416	         1.00006	     5.06818e-05	        0.999778	     0.000282871	         1.00006	     9.77375e-05	
        0.999728	     0.000503316	         1.00006	     5.01712e-05	        0.999818	     0.000282529	         1.00008	     0.000100302	
        0.999671	     0.000500915	         1.00007	     4.96083e-05	        0.999865	      0.00028322	         1.00007	     9.97301e-05	
        0.999698	     0.000496061	         1.00007	      4.9054e-05	        0.999904	     0.000282801	         1.00009	     9.98999e-05	
        0.999753	     0.000493642	         1.00006	     4.86847e-05	        0.999928	      0.00028069	          1.0001	     9.93242e-05	
        0.999762	     0.000488324	         1.00006	     4.84122e-05	        0.999939	     0.000277827	         1.00009	     9.84813e-05	
        0.999777	     0.000483294	         1.00005	     4.80857e-05	        0.999936	     0.000274839	          1.0001	     9.76817e-05	
        0.999854	     0.000484214	         1.00005	     4.75834e-05	        0.999872	     0.000279335	          1.0001	     9.67085e-05	
        0.999867	     0.000479275	         1.00005	     4.73898e-05	        0.999868	      0.00027641	         1.00009	     9.62528e-05	
        0.999872	     0.000474277	         1.00005	     4.69081e-05	        0.999887	     0.000274229	         1.00009	     9.52936e-05	
        0.999858	     0.000469574	         1.00005	     4.64687e-05	        0.999896	     0.000271511	          1.0001	     9.47201e-05	
        0.999902	     0.000466883	         1.00005	     4.60301e-05	        0.999918	     0.000269686	         1.00009	     9.41966e-05	
        0.999923	     0.000462598	         1.00005	     4.55661e-05	        0.999894	     0.000268029	         1.00009	      9.3271e-05	
         1.00001	     0.000465982	         1.00006	     4.54432e-05	        0.999885	     0.000265486	         1.00009	     9.23551e-05	
