     discrete_RW	           error	   continuous_RW	           error	
               1	               0	               1	               0	
         1.41424	      0.00112576	         1.41486	      0.00147166	
         1.73164	      0.00178028	         1.73244	      0.00197852	
         2.00045	      0.00227052	         1.99842	      0.00232428	
         2.23528	      0.00253431	         2.23319	      0.00268908	
         2.44888	      0.00298243	         2.44608	      0.00315842	
         2.64778	      0.00316672	         2.64216	      0.00315097	
         2.83086	      0.00347129	         2.82766	       0.0030956	
         3.00394	      0.00339116	         3.00082	      0.00360457	
          3.1654	      0.00367376	         3.16128	      0.00385231	
         3.31661	      0.00421854	         3.31517	      0.00445642	
         3.46252	      0.00425954	         3.46187	      0.00442114	
         3.60741	       0.0046033	         3.60233	       0.0045556	
         3.74445	      0.00493226	         3.73683	      0.00449881	
         3.87774	      0.00475664	         3.86909	      0.00483526	
          4.0072	       0.0049692	         3.99724	      0.00530392	
         4.12648	         0.00546	         4.11917	      0.00543825	
         4.24643	      0.00551086	          4.2386	       0.0055392	
         4.36309	      0.00586209	          4.3547	      0.00580089	
         4.47685	      0.00589782	         4.46827	      0.00609943	
         4.58745	      0.00597061	         4.57607	      0.00613097	
         4.69763	          0.0063	         4.68837	      0.00647671	
           4.804	      0.00640072	         4.79508	      0.00632581	
         4.90641	      0.00658083	         4.89606	      0.00673789	
         5.00727	      0.00631588	         4.99567	      0.00698406	
         5.10739	      0.00661808	          5.0979	      0.00704846	
         5.20353	      0.00676728	         5.18995	      0.00694882	
         5.29903	       0.0068401	         5.28344	      0.00705936	
         5.39562	      0.00692087	          5.3776	      0.00713664	
         5.49001	      0.00720354	         5.47187	      0.00766125	
          5.5778	      0.00731376	          5.5632	      0.00761254	
         5.66496	      0.00708676	         5.65501	      0.00810327	
         5.75184	      0.00699095	         5.74453	      0.00842005	
         5.83893	      0.00731339	         5.83398	      0.00855381	
         5.92315	      0.00730678	         5.91723	       0.0085597	
         6.00712	      0.00720856	         6.00212	      0.00840749	
         6.08885	      0.00761198	         6.08411	      0.00830786	
          6.1698	      0.00771342	         6.16415	      0.00844398	
         6.25049	      0.00776296	         6.24294	      0.00868601	
         6.32933	       0.0080383	         6.32325	      0.00857244	
         6.40738	      0.00813062	         6.40008	      0.00883996	
         6.48483	      0.00818017	         6.47849	      0.00900158	
         6.56051	      0.00790808	         6.55542	       0.0088414	
         6.63881	      0.00779359	          6.6333	      0.00852305	
         6.71491	      0.00815572	         6.71079	      0.00842182	
         6.79175	      0.00827108	          6.7832	      0.00857154	
         6.86537	      0.00837511	         6.85807	      0.00881021	
         6.93755	      0.00857807	         6.92913	      0.00881151	
         7.00758	      0.00883125	         6.99895	      0.00916091	
         7.07601	      0.00920044	         7.06982	      0.00902655	
         7.14751	      0.00937283	         7.13909	      0.00870391	
         7.21651	      0.00912462	         7.20706	      0.00902727	
         7.28701	      0.00910055	         7.27508	      0.00898369	
         7.35272	      0.00908924	         7.34316	       0.0088986	
         7.41939	      0.00897304	         7.41726	       0.0090516	
         7.48759	      0.00910593	         7.48328	      0.00921301	
         7.55765	      0.00934989	          7.5485	      0.00919626	
         7.62298	      0.00925741	         7.60888	      0.00951085	
         7.68767	      0.00963871	         7.67254	      0.00955892	
         7.74842	      0.00986508	         7.73758	      0.00964939	
         7.81157	       0.0102011	         7.80411	      0.00974311	
         7.87616	       0.0103166	         7.86771	      0.00989947	
         7.93878	        0.010291	         7.93225	       0.0103488	
         8.00181	       0.0101019	         7.99547	       0.0102809	
         8.06529	       0.0101706	         8.05927	       0.0105102	
         8.12534	       0.0101706	         8.12048	        0.010859	
         8.19127	       0.0102291	         8.18569	       0.0112386	
         8.24915	       0.0101206	         8.24808	       0.0114648	
         8.30753	       0.0103288	         8.31048	       0.0114647	
         8.36518	       0.0102303	         8.37624	       0.0113071	
         8.42275	       0.0103666	         8.43657	       0.0114788	
          8.4847	       0.0105863	         8.49105	        0.011557	
         8.54227	       0.0105292	         8.55465	       0.0115534	
         8.60043	       0.0103794	         8.61189	       0.0117332	
         8.66031	       0.0101665	         8.67076	       0.0116637	
         8.71636	       0.0100221	         8.72929	       0.0118562	
         8.77374	      0.00995281	         8.78603	       0.0116859	
         8.83273	      0.00999079	         8.84175	       0.0116734	
         8.89347	      0.00999379	         8.89898	       0.0113821	
         8.94985	      0.00991394	         8.95527	       0.0114437	
          9.0076	       0.0103311	         9.00817	       0.0115304	
         9.06314	       0.0104701	         9.06051	       0.0115146	
         9.11943	       0.0105985	         9.11427	       0.0117912	
         9.17455	       0.0104142	          9.1679	       0.0118149	
         9.22422	       0.0103851	         9.22278	         0.01204	
         9.28001	       0.0105563	         9.27831	       0.0124063	
         9.33474	       0.0103569	         9.32989	       0.0123234	
         9.38663	       0.0106496	         9.37976	       0.0123095	
         9.44123	       0.0106283	         9.43249	       0.0125346	
         9.49431	       0.0106414	         9.48344	       0.0126045	
          9.5492	       0.0109186	         9.53394	       0.0127155	
         9.60119	       0.0110416	         9.58405	       0.0128036	
         9.65818	       0.0112459	         9.63818	        0.012922	
         9.70928	       0.0112327	         9.69111	       0.0126687	
         9.75761	       0.0115936	          9.7432	       0.0126863	
         9.80448	       0.0117413	          9.7971	       0.0126638	
          9.8521	       0.0117272	         9.85166	       0.0129658	
         9.89893	       0.0118419	         9.90304	       0.0130162	
         9.95043	       0.0120633	         9.95498	       0.0127624	
         10.0031	       0.0119997	         10.0037	       0.0129078	
