              1s	              2p	
               1	               1	
        0.901698	        0.882967	
        0.814187	        0.784797	
        0.736356	        0.700125	
        0.666809	        0.626342	
        0.604486	        0.561616	
        0.548354	        0.504123	
        0.497981	        0.453411	
        0.452596	        0.408489	
        0.411787	        0.368659	
        0.375267	        0.332742	
        0.342614	        0.300679	
        0.312664	        0.271814	
        0.285549	        0.245854	
        0.260954	        0.222807	
        0.238521	        0.202316	
        0.217926	        0.183898	
        0.199493	        0.167115	
        0.182625	        0.151648	
        0.167071	        0.138028	
        0.153332	        0.125351	
        0.140721	        0.114081	
        0.128808	        0.103658	
        0.118105	       0.0940331	
        0.108354	       0.0851591	
       0.0995846	       0.0771659	
       0.0915774	       0.0700018	
       0.0840789	       0.0634102	
       0.0774127	       0.0572629	
       0.0715078	       0.0516986	
       0.0661281	       0.0466332	
       0.0611156	       0.0419556	
       0.0567565	       0.0377985	
       0.0527722	       0.0343627	
       0.0491724	        0.031208	
       0.0459314	       0.0283724	
       0.0427963	       0.0255864	
       0.0397317	       0.0232158	
        0.037062	       0.0209814	
       0.0344358	       0.0194931	
       0.0320806	       0.0180469	
       0.0299463	       0.0167208	
        0.027888	       0.0155917	
       0.0260503	        0.014751	
       0.0243245	       0.0133883	
       0.0223552	       0.0127109	
       0.0202528	       0.0118609	
        0.018333	       0.0105483	
       0.0163617	      0.00945479	
       0.0148671	      0.00901513	
       0.0133735	      0.00848964	
       0.0117113	      0.00821999	
       0.0103526	      0.00739754	
      0.00880148	      0.00661084	
      0.00769483	      0.00645711	
        0.006904	      0.00641091	
      0.00605579	      0.00619295	
      0.00533652	      0.00548414	
      0.00469226	      0.00520462	
      0.00415513	      0.00516803	
      0.00387142	      0.00479591	
      0.00376851	       0.0045123	
      0.00349544	      0.00429888	
      0.00338548	      0.00414429	
      0.00328693	       0.0035007	
      0.00308759	      0.00322748	
      0.00299069	      0.00360665	
      0.00321731	      0.00411686	
      0.00353149	      0.00441123	
      0.00378907	      0.00468352	
      0.00435115	      0.00518083	
      0.00455714	      0.00513084	
      0.00488925	      0.00518102	
       0.0049066	      0.00499565	
      0.00439071	      0.00485348	
      0.00422904	      0.00452645	
      0.00429417	      0.00377538	
      0.00452587	      0.00339187	
      0.00463342	      0.00307372	
      0.00453302	      0.00296772	
       0.0045341	      0.00277779	
      0.00390238	      0.00279114	
      0.00315151	      0.00270222	
       0.0024744	      0.00259907	
      0.00179983	      0.00255895	
      0.00106479	      0.00249841	
     0.000681181	       0.0025306	
     0.000649625	      0.00251355	
     0.000682529	      0.00241661	
     0.000415855	      0.00251282	
     0.000473259	      0.00249352	
     0.000547978	      0.00277074	
     0.000457509	      0.00309335	
     0.000347417	      0.00327035	
     0.000235128	      0.00309174	
     0.000387787	      0.00275806	
     0.000339574	       0.0024033	
      0.00033623	      0.00229988	
     0.000232515	      0.00230165	
     0.000159029	      0.00207757	
