              1s	           error	              2p	           error	
         1.53664	               0	         4.97868	               0	
         1.51256	       0.0240835	          4.9742	      0.00447658	
         1.49746	       0.0205261	         5.05871	       0.0845433	
         1.49496	       0.0147269	         5.04588	       0.0611413	
            1.49	       0.0124414	         5.04581	       0.0473599	
         1.49848	       0.0132309	         5.02048	        0.046225	
         1.49387	       0.0120952	         5.01814	       0.0391371	
         1.48494	       0.0137594	         5.01616	       0.0339516	
         1.49909	       0.0186387	         4.99986	       0.0340931	
         1.50977	        0.019799	         4.98666	       0.0332265	
         1.50918	       0.0179186	         4.98316	       0.0302584	
         1.50901	       0.0163582	         5.01166	       0.0396942	
           1.515	       0.0161958	         5.00957	       0.0365732	
          1.5105	       0.0156552	         5.00771	       0.0339116	
         1.50709	       0.0149686	         5.01598	       0.0326361	
         1.50299	       0.0145887	         5.01567	       0.0305298	
         1.49679	       0.0150423	          5.0159	       0.0286787	
         1.49918	       0.0143824	         5.02011	        0.027365	
         1.49946	       0.0136073	         5.02255	       0.0259989	
          1.4987	       0.0129313	         5.01632	       0.0254378	
         1.49751	       0.0123581	         5.01169	       0.0246367	
         1.49567	       0.0119257	         5.01327	       0.0235435	
         1.49333	       0.0116323	          5.0178	       0.0229474	
         1.49239	       0.0111764	         5.02162	       0.0223007	
         1.49445	       0.0109159	         5.02641	       0.0219199	
          1.4937	       0.0105148	         5.02007	       0.0219941	
         1.49183	       0.0102893	         5.02321	       0.0213956	
         1.49302	      0.00998606	         5.02139	       0.0206976	
         1.49092	      0.00986105	         5.02277	       0.0200189	
          1.4895	      0.00963171	         5.02448	       0.0194158	
         1.48741	      0.00954764	         5.02227	        0.018909	
         1.48857	      0.00931632	         5.02032	       0.0184119	
         1.49018	      0.00917348	         5.01877	       0.0179125	
          1.4907	      0.00891447	         5.01712	       0.0174561	
         1.49221	      0.00878651	         5.01676	       0.0169537	
         1.49205	      0.00854039	         5.02094	       0.0169972	
         1.49262	      0.00832589	         5.02265	       0.0166195	
         1.49353	      0.00815492	         5.01779	        0.016888	
         1.49303	      0.00795884	         5.01843	       0.0164615	
         1.49217	      0.00780487	         5.01868	       0.0160467	
         1.49179	      0.00762144	         5.02214	       0.0160288	
         1.49057	      0.00753776	         5.02442	       0.0158067	
         1.49121	      0.00738844	         5.02509	       0.0154495	
         1.49102	      0.00722107	         5.02238	       0.0153355	
         1.49211	      0.00714163	         5.02581	       0.0153778	
         1.49289	      0.00702793	         5.02409	       0.0151384	
         1.49409	      0.00698049	         5.02016	       0.0153241	
         1.49339	       0.0068691	         5.01921	       0.0150316	
         1.49315	      0.00673176	         5.01838	       0.0147451	
          1.4917	      0.00675243	         5.02072	       0.0146354	
         1.49126	      0.00663327	          5.0216	       0.0143727	
         1.49133	      0.00650482	         5.02293	       0.0141563	
         1.49091	       0.0063948	         5.02169	       0.0139421	
         1.49076	      0.00627713	         5.02237	       0.0136982	
         1.49034	      0.00617637	          5.0212	       0.0134978	
         1.49093	      0.00609386	         5.01972	        0.013337	
         1.49005	      0.00605013	         5.01753	       0.0132823	
         1.49043	      0.00595715	         5.01778	       0.0130538	
         1.49139	      0.00593311	         5.01972	       0.0129757	
         1.49138	      0.00583339	         5.01836	       0.0128296	
         1.48989	      0.00592852	         5.01778	       0.0126309	
         1.48893	      0.00591039	          5.0146	       0.0128257	
         1.48937	      0.00583238	         5.01414	       0.0126288	
         1.49008	      0.00578527	         5.01501	       0.0124603	
         1.49004	      0.00569573	         5.01379	       0.0123278	
         1.48979	       0.0056145	         5.01065	       0.0125398	
          1.4907	      0.00560495	         5.00843	       0.0125483	
         1.49128	       0.0055519	         5.00738	       0.0124074	
         1.49211	       0.0055334	         5.00753	       0.0122272	
          1.4927	      0.00548593	         5.00687	       0.0120693	
         1.49281	      0.00540926	         5.00633	       0.0119107	
         1.49243	      0.00534733	         5.00656	       0.0117465	
         1.49298	      0.00530196	         5.00521	        0.011663	
         1.49295	      0.00522991	         5.00333	       0.0116573	
         1.49387	      0.00524198	         5.00267	       0.0115195	
         1.49344	      0.00519043	         5.00302	       0.0113722	
          1.4934	      0.00512272	          5.0026	       0.0112314	
         1.49276	      0.00509691	         5.00343	       0.0111172	
         1.49288	      0.00503328	         5.00103	       0.0112351	
         1.49171	       0.0051049	         5.00175	       0.0111172	
          1.4923	      0.00507621	         5.00415	       0.0112393	
         1.49212	      0.00501733	         5.00599	       0.0112528	
         1.49227	       0.0049588	         5.00299	       0.0115154	
         1.49262	      0.00491216	         5.00221	       0.0114041	
         1.49303	      0.00487063	         5.00158	       0.0112866	
         1.49201	      0.00492055	         5.00297	        0.011241	
         1.49265	      0.00490572	          5.0034	       0.0111193	
         1.49212	      0.00487767	         5.00249	       0.0110298	
         1.49228	      0.00482509	         5.00296	        0.010915	
         1.49276	      0.00479566	           5.005	       0.0109842	
         1.49369	      0.00483198	         5.00578	       0.0108908	
         1.49422	      0.00480835	         5.00419	       0.0108882	
         1.49412	       0.0047573	         5.00218	       0.0109562	
         1.49398	      0.00470851	         5.00226	       0.0108393	
          1.4933	      0.00470888	         5.00186	       0.0107322	
         1.49337	      0.00466008	         5.00347	       0.0107417	
         1.49317	      0.00461594	         5.00314	       0.0106356	
         1.49407	      0.00465643	         5.00256	       0.0105424	
         1.49517	      0.00473907	         5.00246	       0.0104358	
         1.49546	      0.00470038	         5.00196	       0.0103432	
