              1s	           error	              2p	           error	
         1.59664	               0	         5.10612	               0	
         1.54525	       0.0513972	         5.04003	       0.0660964	
         1.55956	       0.0329475	         5.06804	       0.0473413	
         1.53817	       0.0316288	         5.09411	       0.0424262	
         1.54155	       0.0247314	         5.09015	       0.0331004	
         1.54032	       0.0202304	         5.06746	       0.0352885	
         1.53052	       0.0197095	         5.07369	       0.0304666	
         1.53071	       0.0170701	         5.07078	       0.0265438	
         1.51853	       0.0193652	         5.06282	       0.0247259	
         1.51207	       0.0184887	         5.05034	       0.0253941	
         1.51341	       0.0167778	         5.05258	       0.0230782	
         1.50945	       0.0158212	         5.04411	       0.0227053	
         1.50906	       0.0145585	         5.02989	       0.0252679	
          1.5057	       0.0138924	         5.01477	       0.0278547	
          1.5032	       0.0131719	         5.00863	       0.0266487	
         1.50291	       0.0123247	         5.00687	       0.0249896	
         1.50249	       0.0115843	         5.00914	       0.0235834	
         1.50258	       0.0109221	         5.00108	       0.0236511	
         1.50115	       0.0104299	         5.00005	       0.0223956	
         1.50004	      0.00995708	          4.9925	       0.0225455	
         1.50042	      0.00947905	         4.98943	       0.0216643	
         1.50291	      0.00937372	         4.98842	       0.0206806	
         1.50019	      0.00936254	         4.98725	        0.019796	
         1.50132	      0.00903536	         4.98984	       0.0191295	
         1.50108	      0.00866965	         4.99214	       0.0184925	
         1.50179	      0.00835934	          4.9923	       0.0177677	
         1.50185	      0.00804401	         4.99615	       0.0175248	
         1.50286	      0.00781704	         4.99396	       0.0170282	
         1.50495	      0.00782637	         4.99384	        0.016431	
         1.50409	      0.00760942	         4.98998	        0.016336	
         1.50489	       0.0074027	         4.99323	        0.016131	
          1.5068	      0.00741909	         4.99248	        0.015637	
         1.50684	      0.00719085	         4.98992	       0.0153692	
         1.50589	      0.00704012	         4.99261	       0.0151498	
         1.50668	      0.00688084	         4.98995	       0.0149475	
         1.50659	      0.00668755	         4.99242	       0.0147339	
           1.506	      0.00653047	         4.99609	       0.0147926	
         1.50348	      0.00683918	         5.00216	       0.0156249	
         1.50478	      0.00678723	           5.006	       0.0156958	
         1.50272	      0.00692876	         5.00962	       0.0157221	
         1.50384	      0.00684962	         5.00721	       0.0155231	
         1.50337	      0.00670086	         5.00719	        0.015149	
         1.50372	      0.00655224	          5.0066	       0.0148041	
         1.50417	      0.00641769	         5.00951	       0.0147537	
         1.50405	      0.00627466	         5.00771	       0.0145343	
         1.50355	      0.00615654	         5.00667	       0.0142532	
         1.50413	      0.00605141	          5.0036	       0.0142792	
          1.5044	      0.00593041	         5.00308	       0.0139881	
         1.50587	      0.00598943	         5.00141	       0.0138013	
         1.50574	      0.00586985	         5.00169	       0.0135253	
         1.50702	      0.00589548	         5.00383	       0.0134291	
         1.50655	      0.00580032	         5.00426	       0.0131753	
          1.5061	      0.00570758	         5.00162	       0.0131908	
         1.50528	      0.00565975	         5.00291	       0.0130076	
         1.50468	      0.00558895	         5.00001	       0.0130942	
         1.50536	       0.0055302	         4.99983	       0.0128595	
         1.50509	      0.00543886	         5.00174	       0.0127747	
         1.50625	      0.00546825	         5.00296	       0.0126119	
         1.50628	      0.00537488	         5.00249	       0.0124052	
         1.50708	      0.00534434	         5.00249	       0.0121967	
         1.50631	      0.00531148	         5.00173	       0.0120185	
         1.50703	      0.00527365	         5.00408	       0.0120526	
         1.50711	      0.00518987	         5.00288	       0.0119197	
         1.50732	      0.00511275	         5.00235	       0.0117442	
         1.50656	      0.00509095	         5.00496	       0.0118536	
         1.50528	      0.00517502	         5.00675	       0.0118089	
         1.50465	      0.00513517	         5.00609	       0.0116499	
         1.50525	      0.00509462	         5.00525	       0.0115081	
          1.5054	      0.00502243	         5.00487	       0.0113465	
         1.50525	      0.00495254	         5.00473	        0.011184	
         1.50439	      0.00495636	         5.00368	       0.0110755	
         1.50393	      0.00490935	         5.00309	       0.0109369	
         1.50408	      0.00484412	         5.00249	       0.0108022	
         1.50351	      0.00481241	         5.00294	       0.0106644	
         1.50339	      0.00474943	         5.00459	       0.0106499	
         1.50312	       0.0046942	          5.0057	       0.0105676	
         1.50333	      0.00463774	         5.00448	       0.0105003	
         1.50393	      0.00461731	         5.00233	       0.0105852	
         1.50405	       0.0045599	         5.00358	        0.010524	
         1.50439	      0.00451598	         5.00373	       0.0103928	
         1.50343	      0.00456267	         5.00475	       0.0103138	
         1.50408	      0.00455297	         5.00417	       0.0102036	
         1.50386	       0.0045032	         5.00378	       0.0100877	
         1.50368	      0.00445292	         5.00659	       0.0103573	
         1.50405	      0.00441571	         5.00603	         0.01025	
         1.50373	      0.00437576	         5.00631	       0.0101339	
         1.50416	      0.00434698	         5.00723	       0.0100588	
         1.50348	      0.00435081	         5.00773	      0.00995629	
         1.50383	      0.00431559	         5.00741	      0.00984897	
         1.50421	      0.00428397	         5.00569	      0.00988914	
          1.5045	      0.00424708	         5.00649	      0.00981211	
         1.50465	      0.00420311	         5.00451	      0.00990353	
         1.50504	      0.00417608	         5.00406	      0.00980718	
         1.50449	      0.00416758	         5.00298	      0.00976226	
         1.50401	      0.00415123	         5.00235	      0.00967913	
         1.50376	      0.00411561	         5.00237	      0.00957779	
           1.504	      0.00408011	         5.00102	      0.00957314	
         1.50442	      0.00405972	         5.00286	      0.00965153	
         1.50505	      0.00406807	         5.00376	      0.00959591	
         1.50501	      0.00402737	         5.00088	      0.00992855	
