              mu	           sigma	
         1.03633	        0.936014	
         1.06223	        0.860116	
         1.04472	        0.816403	
         1.04472	        0.816403	
         1.04472	        0.816403	
         1.04472	        0.816403	
         1.04472	        0.816403	
         1.04472	        0.816403	
         1.10364	        0.742667	
         1.10364	        0.742667	
         1.08294	        0.756201	
         1.12346	        0.673923	
         1.03165	        0.615486	
        0.978925	        0.519764	
        0.994949	        0.537175	
        0.908291	        0.558059	
        0.908291	        0.558059	
        0.908291	        0.558059	
        0.908291	        0.558059	
        0.908291	        0.558059	
        0.908291	        0.558059	
        0.908291	        0.558059	
        0.840228	        0.555181	
        0.840228	        0.555181	
        0.784226	        0.598358	
        0.784226	        0.598358	
        0.784226	        0.598358	
        0.784226	        0.598358	
        0.784226	        0.598358	
        0.784226	        0.598358	
        0.784226	        0.598358	
        0.784226	        0.598358	
        0.784226	        0.598358	
        0.784226	        0.598358	
        0.784226	        0.598358	
        0.784226	        0.598358	
        0.784226	        0.598358	
        0.784226	        0.598358	
        0.784226	        0.598358	
        0.784226	        0.598358	
        0.784226	        0.598358	
        0.784226	        0.598358	
        0.784226	        0.598358	
        0.784226	        0.598358	
        0.784226	        0.598358	
        0.784226	        0.598358	
        0.784226	        0.598358	
        0.784226	        0.598358	
        0.784226	        0.598358	
        0.784226	        0.598358	
        0.784226	        0.598358	
        0.784226	        0.598358	
        0.784226	        0.598358	
        0.784226	        0.598358	
        0.784226	        0.598358	
        0.784226	        0.598358	
        0.784226	        0.598358	
        0.784226	        0.598358	
        0.772785	        0.607523	
        0.772785	        0.607523	
        0.772785	        0.607523	
        0.772785	        0.607523	
        0.772785	        0.607523	
        0.772785	        0.607523	
        0.772785	        0.607523	
        0.772785	        0.607523	
        0.772785	        0.607523	
        0.772785	        0.607523	
        0.772785	        0.607523	
        0.772785	        0.607523	
        0.772785	        0.607523	
        0.772785	        0.607523	
        0.772785	        0.607523	
        0.772785	        0.607523	
        0.772785	        0.607523	
        0.772785	        0.607523	
        0.772785	        0.607523	
        0.772785	        0.607523	
        0.772785	        0.607523	
        0.772785	        0.607523	
        0.772785	        0.607523	
        0.772785	        0.607523	
        0.772785	        0.607523	
        0.772785	        0.607523	
        0.772785	        0.607523	
        0.772785	        0.607523	
        0.772785	        0.607523	
        0.772785	        0.607523	
        0.772785	        0.607523	
        0.772785	        0.607523	
        0.772785	        0.607523	
        0.772785	        0.607523	
        0.772785	        0.607523	
        0.772785	        0.607523	
        0.772785	        0.607523	
        0.772785	        0.607523	
        0.772785	        0.607523	
        0.772785	        0.607523	
        0.772785	        0.607523	
        0.772785	        0.607523	
