          energy	           error	
       -0.448031	               0	
       -0.445997	      0.00203315	
       -0.443931	      0.00237679	
       -0.444734	      0.00186293	
       -0.444076	      0.00158621	
       -0.443424	      0.00144986	
       -0.443854	      0.00129859	
       -0.443481	      0.00118486	
       -0.443389	      0.00104895	
       -0.443016	      0.00100986	
       -0.443176	      0.00092735	
       -0.443233	     0.000848486	
       -0.443501	     0.000825231	
        -0.44342	     0.000768322	
       -0.443553	     0.000727624	
       -0.443641	     0.000686249	
       -0.443449	     0.000672482	
        -0.44335	     0.000641814	
       -0.443332	     0.000607347	
       -0.443317	     0.000576374	
       -0.443322	     0.000548262	
       -0.443537	     0.000565104	
       -0.443627	     0.000547493	
       -0.443643	      0.00052443	
       -0.443715	     0.000508158	
       -0.443796	     0.000494938	
        -0.44394	     0.000497404	
       -0.443858	     0.000486213	
       -0.443985	     0.000485854	
       -0.443866	     0.000484131	
       -0.443985	     0.000483072	
       -0.443903	     0.000474785	
       -0.443963	     0.000463986	
       -0.443876	     0.000458456	
       -0.443865	      0.00044528	
       -0.443842	     0.000433352	
       -0.443818	     0.000422202	
       -0.443794	     0.000411629	
       -0.443776	     0.000401321	
       -0.443708	     0.000397148	
       -0.443686	     0.000387952	
        -0.44366	      0.00037947	
       -0.443611	     0.000373818	
        -0.44349	     0.000384509	
        -0.44349	     0.000375867	
       -0.443519	     0.000368722	
       -0.443458	      0.00036601	
       -0.443479	     0.000358972	
       -0.443496	     0.000351959	
       -0.443561	     0.000350963	
       -0.443565	     0.000344036	
       -0.443555	     0.000337514	
       -0.443496	     0.000336192	
       -0.443564	     0.000336733	
       -0.443584	     0.000331176	
       -0.443589	     0.000325238	
       -0.443544	     0.000322527	
       -0.443566	     0.000317644	
       -0.443557	      0.00031234	
       -0.443446	     0.000326478	
       -0.443511	     0.000327504	
       -0.443515	     0.000322212	
       -0.443498	     0.000317547	
       -0.443512	     0.000312857	
       -0.443517	     0.000308059	
       -0.443534	     0.000303828	
       -0.443575	     0.000302003	
       -0.443598	     0.000298451	
       -0.443582	     0.000294573	
       -0.443579	      0.00029035	
       -0.443504	     0.000295818	
       -0.443425	     0.000302059	
       -0.443401	     0.000298891	
       -0.443303	     0.000310769	
       -0.443251	     0.000310891	
       -0.443246	     0.000306824	
       -0.443209	     0.000304981	
       -0.443227	     0.000301544	
       -0.443261	     0.000299714	
       -0.443326	     0.000302943	
       -0.443361	     0.000301257	
       -0.443339	     0.000298418	
       -0.443229	     0.000314675	
       -0.443226	      0.00031092	
       -0.443223	     0.000307255	
       -0.443221	     0.000303665	
       -0.443218	     0.000300173	
       -0.443242	     0.000297764	
       -0.443223	      0.00029505	
        -0.44322	     0.000291764	
       -0.443224	     0.000288563	
       -0.443208	     0.000285844	
       -0.443227	     0.000283397	
       -0.443211	     0.000280828	
       -0.443202	     0.000278002	
       -0.443194	     0.000275215	
       -0.443233	     0.000275186	
       -0.443278	     0.000276018	
       -0.443239	     0.000276052	
       -0.443229	     0.000273442	
