              mu	           sigma	          energy	      acceptance	
         1.03633	        0.936014	      6.1683e+09	               1	
         1.06223	        0.860116	     3.80209e+09	               1	
         1.04472	        0.816403	     2.05009e+09	               1	
         1.04472	        0.816403	     2.05009e+09	            0.75	
         1.04472	        0.816403	     2.05009e+09	             0.6	
         1.04472	        0.816403	     2.05009e+09	             0.5	
         1.04472	        0.816403	     2.05009e+09	        0.428571	
         1.04472	        0.816403	     2.05009e+09	           0.375	
         1.10364	        0.742667	     1.71694e+09	        0.444444	
         1.10364	        0.742667	     1.71694e+09	             0.4	
         1.08294	        0.756201	     1.58357e+09	        0.454545	
         1.12346	        0.673923	     1.09892e+09	             0.5	
         1.03165	        0.615486	    -2.18678e+09	        0.538462	
        0.978925	        0.519764	    -2.29454e+09	        0.571429	
        0.994949	        0.537175	    -2.39598e+09	             0.6	
        0.908291	        0.558059	    -3.63692e+09	           0.625	
        0.908291	        0.558059	    -3.63692e+09	        0.588235	
        0.908291	        0.558059	    -3.63692e+09	        0.555556	
        0.908291	        0.558059	    -3.63692e+09	        0.526316	
        0.908291	        0.558059	    -3.63692e+09	             0.5	
        0.908291	        0.558059	    -3.63692e+09	         0.47619	
        0.908291	        0.558059	    -3.63692e+09	        0.454545	
        0.840228	        0.555181	    -4.01923e+09	        0.478261	
        0.840228	        0.555181	    -4.01923e+09	        0.458333	
        0.784226	        0.598358	    -4.42404e+09	            0.48	
        0.784226	        0.598358	    -4.42404e+09	        0.461538	
        0.784226	        0.598358	    -4.42404e+09	        0.444444	
        0.784226	        0.598358	    -4.42404e+09	        0.428571	
        0.784226	        0.598358	    -4.42404e+09	        0.413793	
        0.784226	        0.598358	    -4.42404e+09	             0.4	
        0.784226	        0.598358	    -4.42404e+09	        0.387097	
        0.784226	        0.598358	    -4.42404e+09	           0.375	
        0.784226	        0.598358	    -4.42404e+09	        0.363636	
        0.784226	        0.598358	    -4.42404e+09	        0.352941	
        0.784226	        0.598358	    -4.42404e+09	        0.342857	
        0.784226	        0.598358	    -4.42404e+09	        0.333333	
        0.784226	        0.598358	    -4.42404e+09	        0.324324	
