              mu	           sigma	          energy	      acceptance	
        0.938447	         1.00125	     5.07167e+09	               1	
         0.92342	        0.920409	     1.34201e+09	               1	
        0.842602	        0.857796	     -1.4167e+09	               1	
        0.828905	        0.843328	    -1.69221e+09	               1	
        0.828905	        0.843328	    -1.69221e+09	             0.8	
        0.828905	        0.843328	    -1.69221e+09	        0.666667	
        0.789096	        0.809177	    -2.72441e+09	        0.714286	
        0.789096	        0.809177	    -2.72441e+09	           0.625	
        0.736389	        0.716067	    -3.86766e+09	        0.666667	
        0.736389	        0.716067	    -3.86766e+09	             0.6	
        0.736389	        0.716067	    -3.86766e+09	        0.545455	
         0.77007	        0.679672	    -4.23815e+09	        0.583333	
         0.85758	        0.628515	    -4.34955e+09	        0.615385	
        0.829284	        0.619495	    -4.36934e+09	        0.642857	
        0.829284	        0.619495	    -4.36934e+09	             0.6	
        0.762644	        0.595119	    -4.37819e+09	           0.625	
        0.762644	        0.595119	    -4.37819e+09	        0.588235	
        0.762644	        0.595119	    -4.37819e+09	        0.555556	
        0.762644	        0.595119	    -4.37819e+09	        0.526316	
        0.762644	        0.595119	    -4.37819e+09	             0.5	
        0.762644	        0.595119	    -4.37819e+09	         0.47619	
        0.762644	        0.595119	    -4.37819e+09	        0.454545	
        0.762644	        0.595119	    -4.37819e+09	        0.434783	
        0.762644	        0.595119	    -4.37819e+09	        0.416667	
        0.762644	        0.595119	    -4.37819e+09	             0.4	
        0.762644	        0.595119	    -4.37819e+09	        0.384615	
        0.762644	        0.595119	    -4.37819e+09	         0.37037	
        0.762644	        0.595119	    -4.37819e+09	        0.357143	
        0.762644	        0.595119	    -4.37819e+09	        0.344828	
        0.762644	        0.595119	    -4.37819e+09	        0.333333	
        0.762644	        0.595119	    -4.37819e+09	        0.322581	
        0.762644	        0.595119	    -4.37819e+09	          0.3125	
        0.792007	        0.649991	    -4.41364e+09	        0.333333	
        0.792007	        0.649991	    -4.41364e+09	        0.323529	
        0.792007	        0.649991	    -4.41364e+09	        0.314286	
        0.792007	        0.649991	    -4.41364e+09	        0.305556	
        0.792007	        0.649991	    -4.41364e+09	        0.297297	
        0.792007	        0.649991	    -4.41364e+09	        0.289474	
        0.792007	        0.649991	    -4.41364e+09	        0.282051	
        0.792007	        0.649991	    -4.41364e+09	           0.275	
        0.792007	        0.649991	    -4.41364e+09	        0.268293	
        0.792007	        0.649991	    -4.41364e+09	        0.261905	
        0.792007	        0.649991	    -4.41364e+09	        0.255814	
        0.792007	        0.649991	    -4.41364e+09	            0.25	
        0.792007	        0.649991	    -4.41364e+09	        0.244444	
        0.792007	        0.649991	    -4.41364e+09	         0.23913	
        0.792007	        0.649991	    -4.41364e+09	        0.234043	
        0.792007	        0.649991	    -4.41364e+09	        0.229167	
        0.792007	        0.649991	    -4.41364e+09	         0.22449	
        0.792007	        0.649991	    -4.41364e+09	            0.22	
        0.792007	        0.649991	    -4.41364e+09	        0.215686	
        0.792007	        0.649991	    -4.41364e+09	        0.211538	
        0.792007	        0.649991	    -4.41364e+09	        0.207547	
        0.792007	        0.649991	    -4.41364e+09	        0.203704	
        0.792007	        0.649991	    -4.41364e+09	             0.2	
        0.792007	        0.649991	    -4.41364e+09	        0.196429	
        0.792007	        0.649991	    -4.41364e+09	        0.192982	
        0.792007	        0.649991	    -4.41364e+09	        0.189655	
        0.792007	        0.649991	    -4.41364e+09	        0.186441	
        0.792007	        0.649991	    -4.41364e+09	        0.183333	
        0.792007	        0.649991	    -4.41364e+09	        0.180328	
        0.792007	        0.649991	    -4.41364e+09	        0.177419	
        0.792007	        0.649991	    -4.41364e+09	        0.174603	
        0.792007	        0.649991	    -4.41364e+09	        0.171875	
        0.792007	        0.649991	    -4.41364e+09	        0.169231	
        0.817411	        0.617794	    -4.43899e+09	        0.181818	
        0.817411	        0.617794	    -4.43899e+09	        0.179104	
        0.817411	        0.617794	    -4.43899e+09	        0.176471	
        0.817411	        0.617794	    -4.43899e+09	        0.173913	
        0.817411	        0.617794	    -4.43899e+09	        0.171429	
        0.817411	        0.617794	    -4.43899e+09	        0.169014	
        0.817411	        0.617794	    -4.43899e+09	        0.166667	
        0.817411	        0.617794	    -4.43899e+09	        0.164384	
        0.817411	        0.617794	    -4.43899e+09	        0.162162	
        0.817411	        0.617794	    -4.43899e+09	            0.16	
        0.817411	        0.617794	    -4.43899e+09	        0.157895	
        0.817411	        0.617794	    -4.43899e+09	        0.155844	
        0.817411	        0.617794	    -4.43899e+09	        0.153846	
        0.817411	        0.617794	    -4.43899e+09	        0.151899	
        0.817411	        0.617794	    -4.43899e+09	            0.15	
        0.817411	        0.617794	    -4.43899e+09	        0.148148	
        0.817411	        0.617794	    -4.43899e+09	        0.146341	
        0.817411	        0.617794	    -4.43899e+09	        0.144578	
        0.817411	        0.617794	    -4.43899e+09	        0.142857	
        0.817411	        0.617794	    -4.43899e+09	        0.141176	
        0.817411	        0.617794	    -4.43899e+09	        0.139535	
        0.817411	        0.617794	    -4.43899e+09	        0.137931	
        0.817411	        0.617794	    -4.43899e+09	        0.136364	
        0.817411	        0.617794	    -4.43899e+09	        0.134831	
        0.817411	        0.617794	    -4.43899e+09	        0.133333	
        0.817411	        0.617794	    -4.43899e+09	        0.131868	
        0.817411	        0.617794	    -4.43899e+09	        0.130435	
