              mu	           sigma	          energy	      acceptance	
             0.2	             0.2	         2.79794	               0	
             0.2	             0.2	         2.79794	               0	
             0.2	             0.2	         2.79794	               0	
             0.2	             0.2	         2.79794	               0	
        0.250024	        0.234737	          1.8748	             0.2	
        0.242751	        0.313224	         1.26006	        0.333333	
        0.266179	         0.28509	         1.30737	        0.428571	
        0.274462	         0.28736	         1.24458	             0.5	
        0.333379	        0.213624	         3.10705	        0.555556	
        0.333379	        0.213624	         3.10705	             0.5	
        0.312678	        0.227158	         2.21927	        0.545455	
        0.312678	        0.227158	         2.21927	             0.5	
        0.312678	        0.227158	         2.21927	        0.461538	
        0.312678	        0.227158	         2.21927	        0.428571	
        0.328702	        0.244569	         1.77086	        0.466667	
        0.242044	        0.265453	         1.58334	             0.5	
        0.321572	        0.290273	         1.04613	        0.529412	
        0.321572	        0.290273	         1.04613	             0.5	
        0.226429	        0.229552	         2.02597	        0.526316	
        0.226429	        0.229552	         2.02597	             0.5	
        0.226429	        0.229552	         2.02597	         0.47619	
        0.226429	        0.229552	         2.02597	        0.454545	
        0.158366	        0.226674	         2.93498	        0.478261	
        0.158366	        0.226674	         2.93498	        0.458333	
        0.102364	        0.269851	         2.88456	            0.48	
       0.0935559	        0.306162	         2.28528	             0.5	
       0.0135004	        0.363815	         1.74759	        0.518519	
       0.0135004	        0.363815	         1.74759	             0.5	
       0.0135004	        0.363815	         1.74759	        0.482759	
       0.0931496	        0.389744	         1.40221	             0.5	
        0.130629	        0.366602	         1.46043	        0.516129	
        0.111914	        0.417843	         1.14585	         0.53125	
        0.164754	        0.516233	        0.560295	        0.545455	
        0.248312	        0.609172	        0.157807	        0.558824	
        0.266898	         0.54457	          0.3063	        0.571429	
        0.301757	        0.580269	        0.154636	        0.583333	
        0.286866	        0.502231	        0.381799	        0.594595	
        0.332309	        0.428512	        0.460492	        0.605263	
        0.307927	         0.33572	        0.822198	        0.615385	
        0.367004	        0.427573	        0.345535	           0.625	
        0.351579	         0.43019	        0.384967	        0.634146	
        0.398498	        0.414725	        0.303631	        0.642857	
        0.398498	        0.414725	        0.303631	        0.627907	
        0.376397	         0.47177	        0.219146	        0.636364	
         0.30382	        0.522444	        0.275404	        0.644444	
        0.390411	        0.444483	        0.249699	        0.652174	
        0.423608	        0.447334	        0.168825	        0.659574	
        0.435193	        0.530306	       0.0215271	        0.666667	
        0.492574	        0.472124	      -0.0155858	        0.673469	
        0.554475	        0.419813	        0.056224	            0.68	
        0.554475	        0.419813	          5.6224	               0	
        0.554475	        0.419813	          5.6224	               0	
        0.554475	        0.419813	          5.6224	               0	
         0.51205	        0.495435	        -9.40366	            0.25	
         0.51205	        0.495435	        -9.40366	             0.2	
        0.604495	        0.591828	        -31.3356	        0.333333	
        0.604495	        0.591828	        -31.3356	        0.285714	
        0.637983	        0.559529	        -34.2152	           0.375	
        0.637983	        0.559529	        -34.2152	        0.333333	
        0.702793	        0.625772	        -40.6028	             0.4	
        0.737282	        0.676675	        -41.5124	        0.454545	
        0.737282	        0.676675	        -41.5124	        0.416667	
        0.737282	        0.676675	        -41.5124	        0.384615	
        0.737282	        0.676675	        -41.5124	        0.357143	
        0.737282	        0.676675	        -41.5124	        0.333333	
        0.737282	        0.676675	        -41.5124	          0.3125	
        0.795747	        0.637628	        -44.2546	        0.352941	
        0.795747	        0.637628	        -44.2546	        0.333333	
        0.795747	        0.637628	        -44.2546	        0.315789	
        0.795747	        0.637628	        -44.2546	             0.3	
        0.795747	        0.637628	        -44.2546	        0.285714	
        0.795747	        0.637628	        -44.2546	        0.272727	
        0.795747	        0.637628	        -44.2546	         0.26087	
        0.795747	        0.637628	        -44.2546	            0.25	
        0.822439	        0.622369	        -44.1573	            0.28	
        0.819503	        0.629363	        -44.1858	        0.307692	
        0.819503	        0.629363	        -44.1858	        0.296296	
        0.772959	        0.613928	        -43.9132	        0.321429	
        0.802661	        0.597483	        -44.4882	        0.344828	
        0.802661	        0.597483	        -44.4882	        0.333333	
        0.763096	         0.63263	        -43.3325	        0.354839	
        0.763096	         0.63263	        -43.3325	         0.34375	
        0.763096	         0.63263	        -43.3325	        0.333333	
        0.760684	        0.618636	         -43.712	        0.352941	
        0.760684	        0.618636	         -43.712	        0.342857	
        0.760684	        0.618636	         -43.712	        0.333333	
        0.760684	        0.618636	         -43.712	        0.324324	
        0.760684	        0.618636	         -43.712	        0.315789	
        0.760684	        0.618636	         -43.712	        0.307692	
        0.760684	        0.618636	         -43.712	             0.3	
        0.739916	        0.612366	        -43.4747	        0.317073	
        0.739916	        0.612366	        -43.4747	        0.309524	
        0.739916	        0.612366	        -43.4747	        0.302326	
        0.739916	        0.612366	        -43.4747	        0.295455	
        0.739916	        0.612366	        -43.4747	        0.288889	
        0.739916	        0.612366	        -43.4747	        0.282609	
        0.831205	        0.655193	        -42.7921	        0.297872	
        0.831205	        0.655193	        -42.7921	        0.291667	
        0.831205	        0.655193	        -42.7921	        0.285714	
        0.831205	        0.655193	        -42.7921	            0.28	
        0.831205	        0.655193	        -4279.21	               0	
        0.831205	        0.655193	        -4279.21	               0	
        0.758684	        0.595317	        -4349.21	        0.333333	
        0.758684	        0.595317	        -4349.21	            0.25	
        0.758684	        0.595317	        -4349.21	             0.2	
        0.758684	        0.595317	        -4349.21	        0.166667	
        0.758684	        0.595317	        -4349.21	        0.142857	
        0.758684	        0.595317	        -4349.21	           0.125	
        0.758684	        0.595317	        -4349.21	        0.111111	
        0.758684	        0.595317	        -4349.21	             0.1	
        0.758684	        0.595317	        -4349.21	       0.0909091	
        0.758684	        0.595317	        -4349.21	       0.0833333	
        0.758684	        0.595317	        -4349.21	       0.0769231	
        0.758684	        0.595317	        -4349.21	       0.0714286	
        0.764963	        0.651794	           -4352	        0.133333	
         0.77279	        0.608723	        -4407.43	          0.1875	
         0.77279	        0.608723	        -4407.43	        0.176471	
         0.77279	        0.608723	        -4407.43	        0.166667	
         0.77279	        0.608723	        -4407.43	        0.157895	
         0.77279	        0.608723	        -4407.43	            0.15	
         0.77279	        0.608723	        -4407.43	        0.142857	
         0.77279	        0.608723	        -4407.43	        0.136364	
         0.77279	        0.608723	        -4407.43	        0.130435	
         0.77279	        0.608723	        -4407.43	           0.125	
         0.77279	        0.608723	        -4407.43	            0.12	
         0.77279	        0.608723	        -4407.43	        0.115385	
         0.77279	        0.608723	        -4407.43	        0.111111	
         0.77279	        0.608723	        -4407.43	        0.107143	
         0.77279	        0.608723	        -4407.43	        0.103448	
         0.77279	        0.608723	        -4407.43	             0.1	
         0.77279	        0.608723	        -4407.43	       0.0967742	
         0.77279	        0.608723	        -4407.43	         0.09375	
         0.77279	        0.608723	        -4407.43	       0.0909091	
         0.77279	        0.608723	        -4407.43	       0.0882353	
         0.77279	        0.608723	        -4407.43	       0.0857143	
         0.77279	        0.608723	        -4407.43	       0.0833333	
         0.77279	        0.608723	        -4407.43	       0.0810811	
         0.77279	        0.608723	        -4407.43	       0.0789474	
         0.77279	        0.608723	        -4407.43	       0.0769231	
         0.77279	        0.608723	        -4407.43	           0.075	
         0.77279	        0.608723	        -4407.43	       0.0731707	
         0.77279	        0.608723	        -4407.43	       0.0714286	
         0.77279	        0.608723	        -4407.43	       0.0697674	
         0.77279	        0.608723	        -4407.43	       0.0681818	
         0.77279	        0.608723	        -4407.43	       0.0666667	
         0.77279	        0.608723	        -4407.43	       0.0652174	
         0.77279	        0.608723	        -4407.43	       0.0638298	
         0.77279	        0.608723	        -4407.43	          0.0625	
