              mu	           sigma	          energy	      acceptance	
         1.03633	        0.936014	         0.61683	               1	
         1.06223	        0.860116	        0.380209	               1	
         1.04472	        0.816403	        0.205009	               1	
         1.10323	        0.806707	         0.36422	               1	
         1.15326	        0.841444	        0.713621	               1	
         1.15326	        0.841444	        0.713621	        0.833333	
         1.17668	         0.81331	        0.812271	        0.857143	
         1.18497	         0.81558	        0.910798	           0.875	
         1.24389	        0.741844	        0.815118	        0.888889	
         1.28996	        0.678182	         0.88597	             0.9	
         1.26926	        0.691716	        0.815834	        0.909091	
         1.30979	        0.609438	        0.827804	        0.916667	
         1.21798	           0.551	        0.279094	        0.923077	
         1.16525	        0.455279	        0.248663	        0.928571	
         1.18128	         0.47269	        0.245397	        0.933333	
         1.09462	        0.493574	       0.0210804	          0.9375	
         1.17415	        0.518394	        0.149066	        0.941176	
         1.22949	        0.491973	        0.335988	        0.944444	
         1.13435	        0.431252	        0.267074	        0.947368	
           1.218	        0.389568	        0.643768	            0.95	
           1.218	        0.389568	        0.643768	        0.904762	
           1.218	        0.389568	        0.643768	        0.863636	
         1.14993	         0.38669	        0.529949	        0.869565	
         1.14993	         0.38669	        0.529949	        0.833333	
         1.09393	        0.429866	        0.225282	            0.84	
         1.08512	        0.466178	       0.0790992	        0.846154	
         1.00507	        0.523831	       -0.204149	        0.851852	
        0.993115	        0.428458	        0.144588	        0.857143	
          0.9562	        0.338685	        0.943912	        0.862069	
         1.03585	        0.364613	        0.648034	        0.866667	
         1.07333	        0.341471	        0.821152	        0.870968	
         1.05461	        0.392712	        0.414219	           0.875	
         1.10745	        0.491102	       0.0520613	        0.878788	
         1.19101	        0.584041	        0.210819	        0.882353	
          1.2096	        0.519439	        0.271178	        0.885714	
         1.24446	        0.555138	        0.410756	        0.888889	
         1.22957	          0.4771	        0.378365	        0.891892	
         1.27501	        0.403381	        0.742392	        0.894737	
         1.25063	        0.310589	         1.47419	        0.897436	
          1.3097	        0.402442	        0.852917	             0.9	
         1.29428	        0.405059	        0.783171	        0.902439	
          1.3412	        0.389594	         1.02731	        0.904762	
         1.26802	        0.410136	        0.684606	        0.906977	
         1.24592	        0.467181	        0.430194	        0.909091	
         1.17334	        0.517855	        0.160965	        0.911111	
         1.17334	        0.517855	        0.160965	        0.891304	
         1.20654	        0.520706	        0.256074	        0.893617	
         1.21812	        0.603678	        0.352383	        0.895833	
          1.2755	        0.545497	        0.538997	        0.897959	
         1.33741	        0.493185	        0.782698	             0.9	
         1.33741	        0.493185	         78.2698	               0	
         1.26312	        0.494765	         46.0678	             0.5	
         1.17283	        0.408066	         45.3277	        0.666667	
          1.1304	        0.483688	         9.42573	            0.75	
          1.1304	        0.483688	         9.42573	             0.6	
          1.1304	        0.483688	         9.42573	             0.5	
         1.09186	        0.564531	        -8.51983	        0.571429	
         1.09186	        0.564531	        -8.51983	             0.5	
         1.08042	        0.573696	        -11.9266	        0.555556	
         1.08042	        0.573696	        -11.9266	             0.5	
         1.08042	        0.573696	        -11.9266	        0.454545	
         0.99636	        0.572412	        -27.6749	             0.5	
         0.99636	        0.572412	        -27.6749	        0.461538	
        0.939587	        0.617207	        -34.6826	             0.5	
        0.847781	        0.655872	        -43.3086	        0.533333	
        0.776666	        0.675256	        -42.2338	          0.5625	
        0.835131	        0.636209	        -43.4072	        0.588235	
        0.804225	        0.649491	        -43.6975	        0.611111	
        0.804225	        0.649491	        -43.6975	        0.578947	
        0.791558	        0.566078	        -42.1878	             0.6	
        0.791558	        0.566078	        -42.1878	        0.571429	
        0.739142	         0.63242	          -43.23	        0.590909	
        0.739142	         0.63242	          -43.23	        0.565217	
        0.739142	         0.63242	          -43.23	        0.541667	
        0.765834	        0.617162	        -44.1749	            0.56	
        0.762898	        0.624155	         -44.233	        0.576923	
        0.804311	        0.647181	        -43.7074	        0.592593	
        0.757767	        0.631746	        -43.2056	        0.607143	
        0.787469	        0.615302	        -44.9502	         0.62069	
        0.787469	        0.615302	        -44.9502	             0.6	
        0.787469	        0.615302	        -44.9502	        0.580645	
        0.787469	        0.615302	        -44.9502	          0.5625	
        0.787469	        0.615302	        -44.9502	        0.545455	
        0.785057	        0.601308	        -43.8223	        0.558824	
        0.720651	        0.603549	         -42.161	        0.571429	
        0.720651	        0.603549	         -42.161	        0.555556	
        0.800525	        0.629535	        -44.2171	        0.567568	
        0.800525	        0.629535	        -44.2171	        0.552632	
        0.800525	        0.629535	        -44.2171	        0.538462	
        0.800525	        0.629535	        -44.2171	           0.525	
        0.779757	        0.623265	        -44.4162	        0.536585	
        0.779757	        0.623265	        -44.4162	         0.52381	
        0.779757	        0.623265	        -44.4162	        0.511628	
        0.779757	        0.623265	        -44.4162	             0.5	
        0.779757	        0.623265	        -44.4162	        0.488889	
        0.779757	        0.623265	        -44.4162	        0.478261	
        0.779757	        0.623265	        -44.4162	        0.468085	
        0.779757	        0.623265	        -44.4162	        0.458333	
        0.779757	        0.623265	        -44.4162	         0.44898	
        0.801323	        0.671232	           -43.2	            0.46	
        0.801323	        0.671232	           -4320	               0	
        0.801323	        0.671232	           -4320	               0	
        0.801323	        0.671232	           -4320	               0	
        0.801323	        0.671232	           -4320	               0	
        0.801323	        0.671232	           -4320	               0	
        0.801323	        0.671232	           -4320	               0	
        0.801323	        0.671232	           -4320	               0	
        0.801323	        0.671232	           -4320	               0	
        0.801323	        0.671232	           -4320	               0	
        0.801323	        0.671232	           -4320	               0	
        0.801323	        0.671232	           -4320	               0	
         0.80637	        0.633355	        -4414.79	       0.0833333	
         0.80637	        0.633355	        -4414.79	       0.0769231	
         0.80637	        0.633355	        -4414.79	       0.0714286	
         0.80637	        0.633355	        -4414.79	       0.0666667	
         0.80637	        0.633355	        -4414.79	          0.0625	
         0.80637	        0.633355	        -4414.79	       0.0588235	
         0.80637	        0.633355	        -4414.79	       0.0555556	
         0.80637	        0.633355	        -4414.79	       0.0526316	
         0.80637	        0.633355	        -4414.79	            0.05	
         0.80637	        0.633355	        -4414.79	        0.047619	
         0.80637	        0.633355	        -4414.79	       0.0454545	
         0.80637	        0.633355	        -4414.79	       0.0434783	
         0.80637	        0.633355	        -4414.79	       0.0416667	
         0.80637	        0.633355	        -4414.79	            0.04	
         0.80637	        0.633355	        -4414.79	       0.0384615	
         0.80637	        0.633355	        -4414.79	        0.037037	
         0.80637	        0.633355	        -4414.79	       0.0357143	
         0.80637	        0.633355	        -4414.79	       0.0344828	
         0.80637	        0.633355	        -4414.79	       0.0333333	
         0.80637	        0.633355	        -4414.79	       0.0322581	
         0.80637	        0.633355	        -4414.79	         0.03125	
         0.80637	        0.633355	        -4414.79	        0.030303	
         0.80637	        0.633355	        -4414.79	       0.0294118	
         0.80637	        0.633355	        -4414.79	       0.0285714	
         0.80637	        0.633355	        -4414.79	       0.0277778	
         0.80637	        0.633355	        -4414.79	        0.027027	
         0.80637	        0.633355	        -4414.79	       0.0263158	
         0.80637	        0.633355	        -4414.79	        0.025641	
         0.80637	        0.633355	        -4414.79	           0.025	
         0.80637	        0.633355	        -4414.79	       0.0243902	
         0.80637	        0.633355	        -4414.79	       0.0238095	
         0.80637	        0.633355	        -4414.79	       0.0232558	
         0.80637	        0.633355	        -4414.79	       0.0227273	
         0.80637	        0.633355	        -4414.79	       0.0222222	
         0.80637	        0.633355	        -4414.79	       0.0217391	
         0.80637	        0.633355	        -4414.79	       0.0212766	
         0.80637	        0.633355	        -4414.79	       0.0208333	
         0.80637	        0.633355	        -4414.79	       0.0204082	
         0.80637	        0.633355	        -4414.79	            0.02	
         0.80637	        0.633355	         -441479	               0	
         0.80637	        0.633355	         -441479	               0	
         0.80637	        0.633355	         -441479	               0	
         0.80637	        0.633355	         -441479	               0	
         0.80637	        0.633355	         -441479	               0	
         0.80637	        0.633355	         -441479	               0	
         0.80637	        0.633355	         -441479	               0	
         0.80637	        0.633355	         -441479	               0	
         0.80637	        0.633355	         -441479	               0	
         0.80637	        0.633355	         -441479	               0	
         0.80637	        0.633355	         -441479	               0	
         0.80637	        0.633355	         -441479	               0	
         0.80637	        0.633355	         -441479	               0	
         0.80637	        0.633355	         -441479	               0	
         0.80637	        0.633355	         -441479	               0	
         0.80637	        0.633355	         -441479	               0	
         0.80637	        0.633355	         -441479	               0	
         0.80637	        0.633355	         -441479	               0	
         0.80637	        0.633355	         -441479	               0	
         0.80637	        0.633355	         -441479	               0	
         0.80637	        0.633355	         -441479	               0	
         0.80637	        0.633355	         -441479	               0	
         0.80637	        0.633355	         -441479	               0	
         0.80637	        0.633355	         -441479	               0	
         0.80637	        0.633355	         -441479	               0	
         0.80637	        0.633355	         -441479	               0	
         0.80637	        0.633355	         -441479	               0	
         0.80637	        0.633355	         -441479	               0	
         0.80637	        0.633355	         -441479	               0	
         0.80637	        0.633355	         -441479	               0	
         0.80637	        0.633355	         -441479	               0	
         0.80637	        0.633355	         -441479	               0	
         0.80637	        0.633355	         -441479	               0	
         0.80637	        0.633355	         -441479	               0	
         0.80637	        0.633355	         -441479	               0	
         0.80637	        0.633355	         -441479	               0	
         0.80637	        0.633355	         -441479	               0	
         0.80637	        0.633355	         -441479	               0	
         0.80637	        0.633355	         -441479	               0	
         0.80637	        0.633355	         -441479	               0	
         0.80637	        0.633355	         -441479	               0	
         0.80637	        0.633355	         -441479	               0	
         0.80637	        0.633355	         -441479	               0	
         0.80637	        0.633355	         -441479	               0	
         0.80637	        0.633355	         -441479	               0	
         0.80637	        0.633355	         -441479	               0	
         0.80637	        0.633355	         -441479	               0	
         0.80637	        0.633355	         -441479	               0	
         0.80637	        0.633355	         -441479	               0	
         0.80637	        0.633355	         -441479	               0	
